CVEGEO,Nombre,CP
01002,Asientos,20704
01002,Asientos,20708
01002,Asientos,20710
01002,Asientos,20713
01002,Asientos,20715
01002,Asientos,20717
01002,Asientos,20721
01002,Asientos,20723
01002,Asientos,20727
01002,Asientos,20729
01002,Asientos,20732
01002,Asientos,20736
01002,Asientos,20739
01002,Asientos,20741
01002,Asientos,20744
01002,Asientos,20748
01002,Asientos,20750
01002,Asientos,20765
01002,Asientos,20770
01002,Asientos,20773
01002,Asientos,20777
01002,Asientos,20780
01002,Asientos,20785
01002,Asientos,20792
01002,Asientos,20795
01002,Asientos,20797
01002,Asientos,20700
01002,Asientos,20705
01002,Asientos,20709
01002,Asientos,20712
01002,Asientos,20714
01002,Asientos,20716
01002,Asientos,20720
01002,Asientos,20722
01002,Asientos,20724
01002,Asientos,20728
01002,Asientos,20730
01002,Asientos,20734
01002,Asientos,20738
01002,Asientos,20740
01002,Asientos,20742
01002,Asientos,20746
01002,Asientos,20749
01002,Asientos,20760
01002,Asientos,20768
01002,Asientos,20771
01002,Asientos,20775
01002,Asientos,20779
01002,Asientos,20782
01002,Asientos,20790
01002,Asientos,20794
01002,Asientos,20796
01002,Asientos,20799
01004,Cosío,20462
01004,Cosío,20467
01004,Cosío,20469
01004,Cosío,20472
01004,Cosío,20478
01004,Cosío,20460
01004,Cosío,20466
01004,Cosío,20468
01004,Cosío,20470
01004,Cosío,20476
01005,Jesús María,20901
01005,Jesús María,20903
01005,Jesús María,20905
01005,Jesús María,20908
01005,Jesús María,20912
01005,Jesús María,20915
01005,Jesús María,20917
01005,Jesús María,20920
01005,Jesús María,20923
01005,Jesús María,20925
01005,Jesús María,20927
01005,Jesús María,20940
01005,Jesús María,20945
01005,Jesús María,20950
01005,Jesús María,20955
01005,Jesús María,20959
01005,Jesús María,20964
01005,Jesús María,20970
01005,Jesús María,20980
01005,Jesús María,20983
01005,Jesús María,20986
01005,Jesús María,20990
01005,Jesús María,20994
01005,Jesús María,20997
01005,Jesús María,20900
01005,Jesús María,20902
01005,Jesús María,20904
01005,Jesús María,20907
01005,Jesús María,20909
01005,Jesús María,20914
01005,Jesús María,20916
01005,Jesús María,20919
01005,Jesús María,20922
01005,Jesús María,20924
01005,Jesús María,20926
01005,Jesús María,20928
01005,Jesús María,20943
01005,Jesús María,20947
01005,Jesús María,20953
01005,Jesús María,20957
01005,Jesús María,20960
01005,Jesús María,20967
01005,Jesús María,20974
01005,Jesús María,20981
01005,Jesús María,20984
01005,Jesús María,20987
01005,Jesús María,20992
01005,Jesús María,20996
01007,Rincón de Romos,20403
01007,Rincón de Romos,20405
01007,Rincón de Romos,20410
01007,Rincón de Romos,20415
01007,Rincón de Romos,20417
01007,Rincón de Romos,20423
01007,Rincón de Romos,20425
01007,Rincón de Romos,20427
01007,Rincón de Romos,20434
01007,Rincón de Romos,20436
01007,Rincón de Romos,20440
01007,Rincón de Romos,20445
01007,Rincón de Romos,20447
01007,Rincón de Romos,20454
01007,Rincón de Romos,20457
01007,Rincón de Romos,20400
01007,Rincón de Romos,20404
01007,Rincón de Romos,20406
01007,Rincón de Romos,20414
01007,Rincón de Romos,20416
01007,Rincón de Romos,20420
01007,Rincón de Romos,20424
01007,Rincón de Romos,20426
01007,Rincón de Romos,20430
01007,Rincón de Romos,20435
01007,Rincón de Romos,20437
01007,Rincón de Romos,20444
01007,Rincón de Romos,20446
01007,Rincón de Romos,20450
01007,Rincón de Romos,20456
01008,San José de Gracia,20501
01008,San José de Gracia,20503
01008,San José de Gracia,20506
01008,San José de Gracia,20510
01008,San José de Gracia,20520
01008,San José de Gracia,20530
01008,San José de Gracia,20538
01008,San José de Gracia,20545
01008,San José de Gracia,20560
01008,San José de Gracia,20567
01008,San José de Gracia,20574
01008,San José de Gracia,20578
01008,San José de Gracia,20584
01008,San José de Gracia,20500
01008,San José de Gracia,20502
01008,San José de Gracia,20504
01008,San José de Gracia,20508
01008,San José de Gracia,20516
01008,San José de Gracia,20525
01008,San José de Gracia,20534
01008,San José de Gracia,20540
01008,San José de Gracia,20550
01008,San José de Gracia,20564
01008,San José de Gracia,20570
01008,San José de Gracia,20576
01008,San José de Gracia,20580
01008,San José de Gracia,20590
01001,Aguascalientes,20008
01001,Aguascalientes,20010
01001,Aguascalientes,20018
01001,Aguascalientes,20029
01001,Aguascalientes,20040
01001,Aguascalientes,20050
01001,Aguascalientes,20060
01001,Aguascalientes,20070
01001,Aguascalientes,20080
01001,Aguascalientes,20100
01001,Aguascalientes,20115
01001,Aguascalientes,20117
01001,Aguascalientes,20119
01001,Aguascalientes,20123
01001,Aguascalientes,20126
01001,Aguascalientes,20129
01001,Aguascalientes,20135
01001,Aguascalientes,20137
01001,Aguascalientes,20140
01001,Aguascalientes,20149
01001,Aguascalientes,20157
01001,Aguascalientes,20159
01001,Aguascalientes,20164
01001,Aguascalientes,20170
01001,Aguascalientes,20174
01001,Aguascalientes,20177
01001,Aguascalientes,20180
01001,Aguascalientes,20196
01001,Aguascalientes,20199
01001,Aguascalientes,20205
01001,Aguascalientes,20207
01001,Aguascalientes,20210
01001,Aguascalientes,20217
01001,Aguascalientes,20219
01001,Aguascalientes,20229
01001,Aguascalientes,20234
01001,Aguascalientes,20236
01001,Aguascalientes,20238
01001,Aguascalientes,20240
01001,Aguascalientes,20248
01001,Aguascalientes,20250
01001,Aguascalientes,20256
01001,Aguascalientes,20259
01001,Aguascalientes,20263
01001,Aguascalientes,20265
01001,Aguascalientes,20267
01001,Aguascalientes,20269
01001,Aguascalientes,20276
01001,Aguascalientes,20278
01001,Aguascalientes,20283
01001,Aguascalientes,20285
01001,Aguascalientes,20287
01001,Aguascalientes,20289
01001,Aguascalientes,20291
01001,Aguascalientes,20297
01001,Aguascalientes,20299
01001,Aguascalientes,20311
01001,Aguascalientes,20313
01001,Aguascalientes,20315
01001,Aguascalientes,20317
01001,Aguascalientes,20319
01001,Aguascalientes,20321
01001,Aguascalientes,20323
01001,Aguascalientes,20326
01001,Aguascalientes,20329
01001,Aguascalientes,20341
01001,Aguascalientes,20344
01001,Aguascalientes,20346
01001,Aguascalientes,20349
01001,Aguascalientes,20364
01001,Aguascalientes,20367
01001,Aguascalientes,20370
01001,Aguascalientes,20372
01001,Aguascalientes,20375
01001,Aguascalientes,20377
01001,Aguascalientes,20384
01001,Aguascalientes,20386
01001,Aguascalientes,20390
01001,Aguascalientes,20392
01001,Aguascalientes,20395
01001,Aguascalientes,20399
01001,Aguascalientes,20000
01001,Aguascalientes,20009
01001,Aguascalientes,20016
01001,Aguascalientes,20020
01001,Aguascalientes,20030
01001,Aguascalientes,20049
01001,Aguascalientes,20059
01001,Aguascalientes,20064
01001,Aguascalientes,20078
01001,Aguascalientes,20089
01001,Aguascalientes,20110
01001,Aguascalientes,20116
01001,Aguascalientes,20118
01001,Aguascalientes,20120
01001,Aguascalientes,20124
01001,Aguascalientes,20127
01001,Aguascalientes,20130
01001,Aguascalientes,20136
01001,Aguascalientes,20138
