CVEGEO,Nombre,CP
03003,La Paz,23006
03003,La Paz,23008
03003,La Paz,23010
03003,La Paz,23018
03003,La Paz,23020
03003,La Paz,23029
03003,La Paz,23034
03003,La Paz,23038
03003,La Paz,23040
03003,La Paz,23052
03003,La Paz,23055
03003,La Paz,23057
03003,La Paz,23068
03003,La Paz,23070
03003,La Paz,23076
03003,La Paz,23078
03003,La Paz,23080
03003,La Paz,23084
03003,La Paz,23086
03003,La Paz,23089
03003,La Paz,23091
03003,La Paz,23095
03003,La Paz,23097
03003,La Paz,23099
03003,La Paz,23106
03003,La Paz,23133
03003,La Paz,23143
03003,La Paz,23154
03003,La Paz,23200
03003,La Paz,23205
03003,La Paz,23207
03003,La Paz,23209
03003,La Paz,23211
03003,La Paz,23215
03003,La Paz,23217
03003,La Paz,23232
03003,La Paz,23234
03003,La Paz,23240
03003,La Paz,23243
03003,La Paz,23248
03003,La Paz,23250
03003,La Paz,23252
03003,La Paz,23254
03003,La Paz,23258
03003,La Paz,23284
03003,La Paz,23289
03003,La Paz,23302
03003,La Paz,23304
03003,La Paz,23307
03003,La Paz,23310
03003,La Paz,23312
03003,La Paz,23318
03003,La Paz,23321
03003,La Paz,23328
03003,La Paz,23330
03003,La Paz,23334
03003,La Paz,23351
03003,La Paz,23360
03003,La Paz,23362
03003,La Paz,23364
03003,La Paz,23390
03003,La Paz,23000
03003,La Paz,23007
03003,La Paz,23009
03003,La Paz,23017
03003,La Paz,23019
03003,La Paz,23026
03003,La Paz,23030
03003,La Paz,23037
03003,La Paz,23039
03003,La Paz,23050
03003,La Paz,23054
03003,La Paz,23056
03003,La Paz,23060
03003,La Paz,23069
03003,La Paz,23075
03003,La Paz,23077
03003,La Paz,23079
03003,La Paz,23083
03003,La Paz,23085
03003,La Paz,23088
03003,La Paz,23090
03003,La Paz,23094
03003,La Paz,23096
03003,La Paz,23098
03003,La Paz,23100
03003,La Paz,23130
03003,La Paz,23140
03003,La Paz,23150
03003,La Paz,23170
03003,La Paz,23203
03003,La Paz,23206
03003,La Paz,23208
03003,La Paz,23210
03003,La Paz,23213
03003,La Paz,23216
03003,La Paz,23230
03003,La Paz,23233
03003,La Paz,23236
