CVEGEO,Nombre,CP
04001,Calkiní,24902
04001,Calkiní,24904
04001,Calkiní,24910
04001,Calkiní,24915
04001,Calkiní,24917
04001,Calkiní,24920
04001,Calkiní,24922
04001,Calkiní,24925
04001,Calkiní,24930
04001,Calkiní,24934
04001,Calkiní,24936
04001,Calkiní,24900
04001,Calkiní,24903
04001,Calkiní,24905
04001,Calkiní,24914
04001,Calkiní,24916
04001,Calkiní,24919
04001,Calkiní,24921
04001,Calkiní,24923
04001,Calkiní,24929
04001,Calkiní,24933
04001,Calkiní,24935
04011,Candelaria,24333
04011,Candelaria,24335
04011,Candelaria,24337
04011,Candelaria,24342
04011,Candelaria,24344
04011,Candelaria,24346
04011,Candelaria,24348
04011,Candelaria,24330
04011,Candelaria,24334
04011,Candelaria,24336
04011,Candelaria,24338
04011,Candelaria,24343
04011,Candelaria,24345
04011,Candelaria,24347
04004,Champotón,24402
04004,Champotón,24404
04004,Champotón,24410
04004,Champotón,24413
04004,Champotón,24415
04004,Champotón,24418
04004,Champotón,24420
04004,Champotón,24423
04004,Champotón,24425
04004,Champotón,24433
04004,Champotón,24440
04004,Champotón,24443
04004,Champotón,24450
04004,Champotón,24459
04004,Champotón,24462
04004,Champotón,24482
04004,Champotón,24400
04004,Champotón,24403
04004,Champotón,24405
04004,Champotón,24411
04004,Champotón,24414
04004,Champotón,24416
04004,Champotón,24419
04004,Champotón,24421
04004,Champotón,24424
04004,Champotón,24430
04004,Champotón,24435
04004,Champotón,24441
04004,Champotón,24445
04004,Champotón,24451
04004,Champotón,24460
04004,Champotón,24464
04004,Champotón,24495
04005,Hecelchakán,24810
04005,Hecelchakán,24820
04005,Hecelchakán,24828
04005,Hecelchakán,24831
04005,Hecelchakán,24837
04005,Hecelchakán,24860
04005,Hecelchakán,24864
04005,Hecelchakán,24800
04005,Hecelchakán,24813
04005,Hecelchakán,24826
04005,Hecelchakán,24830
04005,Hecelchakán,24836
04005,Hecelchakán,24839
04005,Hecelchakán,24863
04007,Palizada,24203
04007,Palizada,24205
04007,Palizada,24207
04007,Palizada,24200
04007,Palizada,24204
04007,Palizada,24206
04007,Palizada,24208
04010,Calakmul,24643
04010,Calakmul,24645
04010,Calakmul,24647
04010,Calakmul,24653
04010,Calakmul,24655
04010,Calakmul,24658
04010,Calakmul,24640
04010,Calakmul,24644
04010,Calakmul,24646
04010,Calakmul,24648
04010,Calakmul,24654
04010,Calakmul,24656
04002,Campeche,24005
04002,Campeche,24009
04002,Campeche,24014
04002,Campeche,24020
04002,Campeche,24024
04002,Campeche,24026
04002,Campeche,24028
04002,Campeche,24030
04002,Campeche,24036
04002,Campeche,24038
04002,Campeche,24040
04002,Campeche,24048
