CVEGEO,Nombre,CP
08002,Aldama,32901
08002,Aldama,32910
08002,Aldama,32913
08002,Aldama,32917
08002,Aldama,32930
08002,Aldama,32932
08002,Aldama,32939
08002,Aldama,32944
08002,Aldama,32949
08002,Aldama,32900
08002,Aldama,32902
08002,Aldama,32912
08002,Aldama,32914
08002,Aldama,32918
08002,Aldama,32931
08002,Aldama,32933
08002,Aldama,32940
08002,Aldama,32948
08004,Aquiles Serdán,31652
08004,Aquiles Serdán,31657
08004,Aquiles Serdán,31650
08004,Aquiles Serdán,31653
08006,Bachíniva,31663
08006,Bachíniva,31666
08006,Bachíniva,31670
08006,Bachíniva,31672
08006,Bachíniva,31674
08006,Bachíniva,31677
08006,Bachíniva,31660
08006,Bachíniva,31665
08006,Bachíniva,31667
08006,Bachíniva,31671
08006,Bachíniva,31673
08006,Bachíniva,31675
08008,Batopilas,33407
08008,Batopilas,33410
08008,Batopilas,33418
08008,Batopilas,33400
08008,Batopilas,33408
08008,Batopilas,33413
08008,Batopilas,33419
08010,Buenaventura,31881
08010,Buenaventura,31884
08010,Buenaventura,31890
08010,Buenaventura,31893
08010,Buenaventura,31895
08010,Buenaventura,31897
08010,Buenaventura,31899
08010,Buenaventura,31880
08010,Buenaventura,31883
08010,Buenaventura,31885
08010,Buenaventura,31891
08010,Buenaventura,31894
08010,Buenaventura,31896
08010,Buenaventura,31898
08012,Carichí,33281
08012,Carichí,33284
08012,Carichí,33286
08012,Carichí,33288
08012,Carichí,33295
08012,Carichí,33297
08012,Carichí,33299
08012,Carichí,33280
08012,Carichí,33283
08012,Carichí,33285
08012,Carichí,33287
08012,Carichí,33293
08012,Carichí,33296
08012,Carichí,33298
08019,Chihuahua,31008
08019,Chihuahua,31020
08019,Chihuahua,31030
08019,Chihuahua,31050
08019,Chihuahua,31060
08019,Chihuahua,31064
08019,Chihuahua,31066
08019,Chihuahua,31074
08019,Chihuahua,31076
08019,Chihuahua,31100
08019,Chihuahua,31105
08019,Chihuahua,31107
08019,Chihuahua,31114
08019,Chihuahua,31116
08019,Chihuahua,31123
08019,Chihuahua,31125
08019,Chihuahua,31130
08019,Chihuahua,31135
08019,Chihuahua,31137
08019,Chihuahua,31143
08019,Chihuahua,31146
08019,Chihuahua,31153
