CVEGEO,Nombre,CP
07002,Acala,29372
07002,Acala,29374
07002,Acala,29376
07002,Acala,29380
07002,Acala,29384
07002,Acala,29386
07002,Acala,29388
07002,Acala,29370
07002,Acala,29373
07002,Acala,29375
07002,Acala,29377
07002,Acala,29383
07002,Acala,29385
07002,Acala,29387
07113,Aldama,29878
07113,Aldama,29877
07113,Aldama,29879
07005,Amatán,29702
07005,Amatán,29704
07005,Amatán,29706
07005,Amatán,29708
07005,Amatán,29700
07005,Amatán,29703
07005,Amatán,29705
07005,Amatán,29707
07007,Amatenango del Valle,29432
07007,Amatenango del Valle,29434
07007,Amatenango del Valle,29430
07007,Amatenango del Valle,29433
07007,Amatenango del Valle,29435
07009,Arriaga,30453
07009,Arriaga,30455
07009,Arriaga,30457
07009,Arriaga,30461
07009,Arriaga,30463
07009,Arriaga,30465
07009,Arriaga,30450
07009,Arriaga,30454
07009,Arriaga,30456
07009,Arriaga,30458
07009,Arriaga,30462
07009,Arriaga,30464
07011,Bella Vista,30133
07011,Bella Vista,30135
07011,Bella Vista,30137
07011,Bella Vista,30130
07011,Bella Vista,30134
07011,Bella Vista,30136
07012,Berriozábal,29133
07012,Berriozábal,29130
07012,Berriozábal,29136
07015,Cacahoatán,30892
07015,Cacahoatán,30894
07015,Cacahoatán,30896
07015,Cacahoatán,30898
07015,Cacahoatán,30890
07015,Cacahoatán,30893
07015,Cacahoatán,30895
07015,Cacahoatán,30897
07022,Chalchihuitán,29851
07022,Chalchihuitán,29853
07022,Chalchihuitán,29855
07022,Chalchihuitán,29857
07022,Chalchihuitán,29850
07022,Chalchihuitán,29852
07022,Chalchihuitán,29854
07022,Chalchihuitán,29856
07024,Chanal,29441
07024,Chanal,29446
07024,Chanal,29440
07024,Chanal,29444
07026,Chenalhó,29871
07026,Chenalhó,29873
07026,Chenalhó,29876
07026,Chenalhó,29870
07026,Chenalhó,29872
07026,Chenalhó,29875
07028,Chiapilla,29395
07028,Chiapilla,29390
07030,Chicomuselo,30121
07030,Chicomuselo,30124
07030,Chicomuselo,30126
07030,Chicomuselo,30120
07030,Chicomuselo,30123
07030,Chicomuselo,30125
07030,Chicomuselo,30129
07017,Cintalapa,30404
07017,Cintalapa,30407
07017,Cintalapa,30409
07017,Cintalapa,30412
07017,Cintalapa,30414
07017,Cintalapa,30416
07017,Cintalapa,30420
07017,Cintalapa,30423
07017,Cintalapa,30425
07017,Cintalapa,30427
07017,Cintalapa,30429
07017,Cintalapa,30400
07017,Cintalapa,30406
07017,Cintalapa,30408
07017,Cintalapa,30410
07017,Cintalapa,30413
07017,Cintalapa,30415
07017,Cintalapa,30417
07017,Cintalapa,30422
07017,Cintalapa,30424
07017,Cintalapa,30426
07017,Cintalapa,30428
07019,Comitán de Domínguez,30010
07019,Comitán de Domínguez,30015
07019,Comitán de Domínguez,30018
07019,Comitán de Domínguez,30020
07019,Comitán de Domínguez,30028
07019,Comitán de Domínguez,30030
07019,Comitán de Domínguez,30034
07019,Comitán de Domínguez,30037
07019,Comitán de Domínguez,30039
07019,Comitán de Domínguez,30043
07019,Comitán de Domínguez,30063
07019,Comitán de Domínguez,30065
07019,Comitán de Domínguez,30068
07019,Comitán de Domínguez,30070
07019,Comitán de Domínguez,30074
07019,Comitán de Domínguez,30078
07019,Comitán de Domínguez,30093
07019,Comitán de Domínguez,30099
07019,Comitán de Domínguez,30101
07019,Comitán de Domínguez,30103
07019,Comitán de Domínguez,30105
07019,Comitán de Domínguez,30107
07019,Comitán de Domínguez,30109
07019,Comitán de Domínguez,30000
07019,Comitán de Domínguez,30013
07019,Comitán de Domínguez,30017
07019,Comitán de Domínguez,30019
07019,Comitán de Domínguez,30023
07019,Comitán de Domínguez,30029
07019,Comitán de Domínguez,30033
07019,Comitán de Domínguez,30036
07019,Comitán de Domínguez,30038
07019,Comitán de Domínguez,30040
07019,Comitán de Domínguez,30060
07019,Comitán de Domínguez,30064
07019,Comitán de Domínguez,30067
07019,Comitán de Domínguez,30069
07019,Comitán de Domínguez,30073
07019,Comitán de Domínguez,30077
07019,Comitán de Domínguez,30090
07019,Comitán de Domínguez,30096
07019,Comitán de Domínguez,30100
07019,Comitán de Domínguez,30102
07019,Comitán de Domínguez,30104
07019,Comitán de Domínguez,30106
07019,Comitán de Domínguez,30108
07014,El Bosque,29842
07014,El Bosque,29844
07014,El Bosque,29846
07014,El Bosque,29848
07014,El Bosque,29840
07014,El Bosque,29843
07014,El Bosque,29845
07014,El Bosque,29847
07032,Escuintla,30603
07032,Escuintla,30605
07032,Escuintla,30607
07032,Escuintla,30613
07032,Escuintla,30615
07032,Escuintla,30617
07032,Escuintla,30600
07032,Escuintla,30604
07032,Escuintla,30606
07032,Escuintla,30610
07032,Escuintla,30614
07032,Escuintla,30616
07034,Frontera Comalapa,30143
07034,Frontera Comalapa,30146
07034,Frontera Comalapa,30148
07034,Frontera Comalapa,30150
07034,Frontera Comalapa,30152
07034,Frontera Comalapa,30154
07034,Frontera Comalapa,30140
07034,Frontera Comalapa,30145
07034,Frontera Comalapa,30147
07034,Frontera Comalapa,30149
