CVEGEO,Nombre,CP
05002,Acuña,26210
05002,Acuña,26220
05002,Acuña,26233
05002,Acuña,26235
05002,Acuña,26237
05002,Acuña,26239
05002,Acuña,26248
05002,Acuña,26250
05002,Acuña,26262
05002,Acuña,26264
05002,Acuña,26270
05002,Acuña,26278
05002,Acuña,26280
05002,Acuña,26283
05002,Acuña,26288
05002,Acuña,26290
05002,Acuña,26298
05002,Acuña,26300
05002,Acuña,26304
05002,Acuña,26307
05002,Acuña,26309
05002,Acuña,26315
05002,Acuña,26320
05002,Acuña,26200
05002,Acuña,26215
05002,Acuña,26230
05002,Acuña,26234
05002,Acuña,26236
05002,Acuña,26238
05002,Acuña,26240
05002,Acuña,26249
05002,Acuña,26260
05002,Acuña,26263
05002,Acuña,26269
05002,Acuña,26272
05002,Acuña,26279
05002,Acuña,26282
05002,Acuña,26284
05002,Acuña,26289
05002,Acuña,26293
05002,Acuña,26299
05002,Acuña,26301
05002,Acuña,26305
05002,Acuña,26308
05002,Acuña,26310
05002,Acuña,26317
05002,Acuña,26328
05004,Arteaga,25352
05004,Arteaga,25354
05004,Arteaga,25360
05004,Arteaga,25364
05004,Arteaga,25366
05004,Arteaga,25370
05004,Arteaga,25373
05004,Arteaga,25375
05004,Arteaga,25380
05004,Arteaga,25385
05004,Arteaga,25387
05004,Arteaga,25390
05004,Arteaga,25396
05004,Arteaga,25350
05004,Arteaga,25353
05004,Arteaga,25355
05004,Arteaga,25363
05004,Arteaga,25365
05004,Arteaga,25369
05004,Arteaga,25372
05004,Arteaga,25374
05004,Arteaga,25376
05004,Arteaga,25382
05004,Arteaga,25386
05004,Arteaga,25389
05004,Arteaga,25395
05004,Arteaga,25399
05006,Castaños,25873
05006,Castaños,25875
05006,Castaños,25877
05006,Castaños,25884
05006,Castaños,25886
05006,Castaños,25890
05006,Castaños,25895
05006,Castaños,25898
05006,Castaños,25870
05006,Castaños,25874
05006,Castaños,25876
05006,Castaños,25880
05006,Castaños,25885
05006,Castaños,25887
05006,Castaños,25893
05006,Castaños,25896
05008,Escobedo,25479
05008,Escobedo,25483
05008,Escobedo,25492
05008,Escobedo,25470
05008,Escobedo,25480
05008,Escobedo,25490
05008,Escobedo,25496
05010,Frontera,25610
05010,Frontera,25617
05010,Frontera,25619
05010,Frontera,25626
05010,Frontera,25628
05010,Frontera,25630
05010,Frontera,25643
05010,Frontera,25650
05010,Frontera,25668
05010,Frontera,25670
05010,Frontera,25800
05010,Frontera,25803
05010,Frontera,25810
05010,Frontera,25820
05010,Frontera,25600
05010,Frontera,25616
05010,Frontera,25618
05010,Frontera,25620
05010,Frontera,25627
05010,Frontera,25629
05010,Frontera,25640
05010,Frontera,25644
05010,Frontera,25660
05010,Frontera,25669
05010,Frontera,25680
05010,Frontera,25802
05010,Frontera,25805
05010,Frontera,25815
05010,Frontera,25823
05012,Guerrero,26643
05012,Guerrero,26655
05012,Guerrero,26660
05012,Guerrero,26640
05012,Guerrero,26650
05012,Guerrero,26659
05012,Guerrero,26662
05014,Jiménez,26401
05014,Jiménez,26405
05014,Jiménez,26409
05014,Jiménez,26411
05014,Jiménez,26415
05014,Jiménez,26429
05014,Jiménez,26431
05014,Jiménez,26400
05014,Jiménez,26402
05014,Jiménez,26406
05014,Jiménez,26410
05014,Jiménez,26412
05014,Jiménez,26420
05014,Jiménez,26430
05014,Jiménez,26435
05016,Lamadrid,27720
05016,Lamadrid,27700
05016,Lamadrid,27739
05018,Monclova,25710
05018,Monclova,25715
05018,Monclova,25717
05018,Monclova,25720
05018,Monclova,25725
05018,Monclova,25730
05018,Monclova,25733
05018,Monclova,25736
05018,Monclova,25743
05018,Monclova,25747
05018,Monclova,25749
05018,Monclova,25756
05018,Monclova,25758
05018,Monclova,25760
05018,Monclova,25767
05018,Monclova,25769
05018,Monclova,25771
05018,Monclova,25775
05018,Monclova,25777
05018,Monclova,25780
05018,Monclova,25790
05018,Monclova,25796
05018,Monclova,25830
05018,Monclova,25832
05018,Monclova,25834
05018,Monclova,25839
05018,Monclova,25844
05018,Monclova,25847
05018,Monclova,25852
05018,Monclova,25855
05018,Monclova,25700
05018,Monclova,25714
05018,Monclova,25716
05018,Monclova,25718
05018,Monclova,25724
05018,Monclova,25726
05018,Monclova,25732
05018,Monclova,25734
05018,Monclova,25740
05018,Monclova,25746
05018,Monclova,25748
05018,Monclova,25750
05018,Monclova,25757
05018,Monclova,25759
05018,Monclova,25766
05018,Monclova,25768
05018,Monclova,25770
05018,Monclova,25773
05018,Monclova,25776
05018,Monclova,25779
05018,Monclova,25785
05018,Monclova,25793
05018,Monclova,25799
05018,Monclova,25831
05018,Monclova,25833
05018,Monclova,25836
05018,Monclova,25843
05018,Monclova,25845
05018,Monclova,25851
05018,Monclova,25853
05018,Monclova,25866
05020,Múzquiz,26342
05020,Múzquiz,26344
05020,Múzquiz,26346
05020,Múzquiz,26353
05020,Múzquiz,26360
05020,Múzquiz,26365
05020,Múzquiz,26370
05020,Múzquiz,26340
05020,Múzquiz,26343
05020,Múzquiz,26345
05020,Múzquiz,26350
05020,Múzquiz,26355
05020,Múzquiz,26364
05020,Múzquiz,26366
05022,Nava,26172
05022,Nava,26174
05022,Nava,26176
05022,Nava,26180
05022,Nava,26185
05022,Nava,26193
05022,Nava,26170
05022,Nava,26173
05022,Nava,26175
05022,Nava,26177
05022,Nava,26183
05022,Nava,26190
05022,Nava,26196
05024,Parras,27983
05024,Parras,27985
05024,Parras,27987
05024,Parras,27989
05024,Parras,27991
05024,Parras,27993
05024,Parras,27995
05024,Parras,27997
05024,Parras,27980
05024,Parras,27984
05024,Parras,27986
05024,Parras,27988
05024,Parras,27990
05024,Parras,27992
05024,Parras,27994
05024,Parras,27996
05026,Progreso,25430
05026,Progreso,25440
05026,Progreso,25446
05026,Progreso,25450
05026,Progreso,25458
05026,Progreso,25469
05026,Progreso,25420
05026,Progreso,25431
05026,Progreso,25443
05026,Progreso,25447
05026,Progreso,25457
05026,Progreso,25460
05028,Sabinas,26710
05028,Sabinas,26720
05028,Sabinas,26730
05028,Sabinas,26737
05028,Sabinas,26739
05028,Sabinas,26741
05028,Sabinas,26747
05028,Sabinas,26749
05028,Sabinas,26759
05028,Sabinas,26763
05028,Sabinas,26765
05028,Sabinas,26767
05028,Sabinas,26769
05028,Sabinas,26779
05028,Sabinas,26788
05028,Sabinas,26799
05028,Sabinas,26952
05028,Sabinas,26960
05028,Sabinas,26980
05028,Sabinas,26700
05028,Sabinas,26719
05028,Sabinas,26729
05028,Sabinas,26736
05028,Sabinas,26738
05028,Sabinas,26740
05028,Sabinas,26742
05028,Sabinas,26748
05028,Sabinas,26750
05028,Sabinas,26760
05028,Sabinas,26764
05028,Sabinas,26766
05028,Sabinas,26768
05028,Sabinas,26770
05028,Sabinas,26780
05028,Sabinas,26790
05028,Sabinas,26950
05028,Sabinas,26954
05028,Sabinas,26963
05030,Saltillo,25008
05030,Saltillo,25013
05030,Saltillo,25015
05030,Saltillo,25017
05030,Saltillo,25019
05030,Saltillo,25022
05030,Saltillo,25030
05030,Saltillo,25036
05030,Saltillo,25039
05030,Saltillo,25043
05030,Saltillo,25045
05030,Saltillo,25048
05030,Saltillo,25050
05030,Saltillo,25056
05030,Saltillo,25060
05030,Saltillo,25067
05030,Saltillo,25069
05030,Saltillo,25075
05030,Saltillo,25077
05030,Saltillo,25080
05030,Saltillo,25084
05030,Saltillo,25086
05030,Saltillo,25088
05030,Saltillo,25092
05030,Saltillo,25094
05030,Saltillo,25097
05030,Saltillo,25107
05030,Saltillo,25113
05030,Saltillo,25115
05030,Saltillo,25117
05030,Saltillo,25124
05030,Saltillo,25128
05030,Saltillo,25130
05030,Saltillo,25138
05030,Saltillo,25146
05030,Saltillo,25150
05030,Saltillo,25156
05030,Saltillo,25160
05030,Saltillo,25168
05030,Saltillo,25170
05030,Saltillo,25180
05030,Saltillo,25187
05030,Saltillo,25190
05030,Saltillo,25195
05030,Saltillo,25197
05030,Saltillo,25199
05030,Saltillo,25203
05030,Saltillo,25205
05030,Saltillo,25207
05030,Saltillo,25209
05030,Saltillo,25215
05030,Saltillo,25225
05030,Saltillo,25238
05030,Saltillo,25240
05030,Saltillo,25253
05030,Saltillo,25256
05030,Saltillo,25265
05030,Saltillo,25277
05030,Saltillo,25280
05030,Saltillo,25286
05030,Saltillo,25293
05030,Saltillo,25295
05030,Saltillo,25297
05030,Saltillo,25300
05030,Saltillo,25302
05030,Saltillo,25306
05030,Saltillo,25308
05030,Saltillo,25313
05030,Saltillo,25315
05030,Saltillo,25320
05030,Saltillo,25325
05030,Saltillo,25327
05030,Saltillo,25329
05030,Saltillo,25331
05030,Saltillo,25333
05030,Saltillo,25335
05030,Saltillo,25337
05030,Saltillo,25340
05030,Saltillo,25344
05030,Saltillo,25346
05030,Saltillo,25348
05030,Saltillo,25000
05030,Saltillo,25010
05030,Saltillo,25014
05030,Saltillo,25016
05030,Saltillo,25018
05030,Saltillo,25020
05030,Saltillo,25023
05030,Saltillo,25034
05030,Saltillo,25038
05030,Saltillo,25040
05030,Saltillo,25044
05030,Saltillo,25047
05030,Saltillo,25049
05030,Saltillo,25055
05030,Saltillo,25057
05030,Saltillo,25065
05030,Saltillo,25068
05030,Saltillo,25070
05030,Saltillo,25076
05030,Saltillo,25078
05030,Saltillo,25083
05030,Saltillo,25085
05030,Saltillo,25087
05030,Saltillo,25090
05030,Saltillo,25093
05030,Saltillo,25096
05030,Saltillo,25100
05030,Saltillo,25110
05030,Saltillo,25114
05030,Saltillo,25116
05030,Saltillo,25120
05030,Saltillo,25125
05030,Saltillo,25129
05030,Saltillo,25137
05030,Saltillo,25140
05030,Saltillo,25147
05030,Saltillo,25155
05030,Saltillo,25157
05030,Saltillo,25167
05030,Saltillo,25169
05030,Saltillo,25179
05030,Saltillo,25186
05030,Saltillo,25188
05030,Saltillo,25194
05030,Saltillo,25196
05030,Saltillo,25198
05030,Saltillo,25200
05030,Saltillo,25204
05030,Saltillo,25206
05030,Saltillo,25208
05030,Saltillo,25210
05030,Saltillo,25220
05030,Saltillo,25230
05030,Saltillo,25239
05030,Saltillo,25250
05030,Saltillo,25254
05030,Saltillo,25260
05030,Saltillo,25270
05030,Saltillo,25279
05030,Saltillo,25284
05030,Saltillo,25290
05030,Saltillo,25294
05030,Saltillo,25296
05030,Saltillo,25298
05030,Saltillo,25301
05030,Saltillo,25303
05030,Saltillo,25307
05030,Saltillo,25311
05030,Saltillo,25314
05030,Saltillo,25319
05030,Saltillo,25324
05030,Saltillo,25326
05030,Saltillo,25328
05030,Saltillo,25330
05030,Saltillo,25332
05030,Saltillo,25334
05030,Saltillo,25336
05030,Saltillo,25338
05030,Saltillo,25343
05030,Saltillo,25345
05030,Saltillo,25347
05032,San Juan de Sabinas,26809
05032,San Juan de Sabinas,26813
05032,San Juan de Sabinas,26825
05032,San Juan de Sabinas,26830
05032,San Juan de Sabinas,26834
05032,San Juan de Sabinas,26843
05032,San Juan de Sabinas,26860
05032,San Juan de Sabinas,26870
05032,San Juan de Sabinas,26879
05032,San Juan de Sabinas,26885
05032,San Juan de Sabinas,26887
05032,San Juan de Sabinas,26900
05032,San Juan de Sabinas,26908
05032,San Juan de Sabinas,26930
05032,San Juan de Sabinas,26942
05032,San Juan de Sabinas,26800
05032,San Juan de Sabinas,26810
05032,San Juan de Sabinas,26820
05032,San Juan de Sabinas,26827
05032,San Juan de Sabinas,26832
05032,San Juan de Sabinas,26840
05032,San Juan de Sabinas,26850
05032,San Juan de Sabinas,26862
05032,San Juan de Sabinas,26875
05032,San Juan de Sabinas,26880
05032,San Juan de Sabinas,26886
05032,San Juan de Sabinas,26890
05032,San Juan de Sabinas,26905
05032,San Juan de Sabinas,26910
05032,San Juan de Sabinas,26940
05034,Sierra Mojada,27601
05034,Sierra Mojada,27603
05034,Sierra Mojada,27605
05034,Sierra Mojada,27607
05034,Sierra Mojada,27610
05034,Sierra Mojada,27614
05034,Sierra Mojada,27620
05034,Sierra Mojada,27623
05034,Sierra Mojada,27626
05034,Sierra Mojada,27636
05034,Sierra Mojada,27600
05034,Sierra Mojada,27602
05034,Sierra Mojada,27604
05034,Sierra Mojada,27606
05034,Sierra Mojada,27608
05034,Sierra Mojada,27612
05034,Sierra Mojada,27616
05034,Sierra Mojada,27622
05034,Sierra Mojada,27625
05034,Sierra Mojada,27630
05036,Viesca,27484
05036,Viesca,27486
05036,Viesca,27488
05036,Viesca,27490
05036,Viesca,27497
05036,Viesca,27499
05036,Viesca,27480
05036,Viesca,27485
05036,Viesca,27487
05036,Viesca,27489
05036,Viesca,27494
05036,Viesca,27498
05038,Zaragoza,26452
05038,Zaragoza,26454
05038,Zaragoza,26460
05038,Zaragoza,26464
05038,Zaragoza,26467
05038,Zaragoza,26450
05038,Zaragoza,26453
05038,Zaragoza,26459
05038,Zaragoza,26463
05038,Zaragoza,26465
05001,Abasolo,25543
05001,Abasolo,25545
05001,Abasolo,25547
05001,Abasolo,25553
05001,Abasolo,25555
05001,Abasolo,25560
05001,Abasolo,25567
05001,Abasolo,25540
05001,Abasolo,25544
05001,Abasolo,25546
05001,Abasolo,25550
05001,Abasolo,25554
05001,Abasolo,25556
