CVEGEO,Nombre,CP
06002,Colima,28010
06002,Colima,28014
06002,Colima,28017
06002,Colima,28019
06002,Colima,28023
06002,Colima,28030
06002,Colima,28037
06002,Colima,28043
06002,Colima,28045
06002,Colima,28047
06002,Colima,28050
06002,Colima,28063
06002,Colima,28068
06002,Colima,28075
06002,Colima,28078
06002,Colima,28080
06002,Colima,28089
06002,Colima,28600
06002,Colima,28610
06002,Colima,28615
06002,Colima,28620
06002,Colima,28628
06002,Colima,28630
06002,Colima,28634
06002,Colima,28638
06002,Colima,28641
06002,Colima,28646
06002,Colima,28650
06002,Colima,28668
06002,Colima,28000
06002,Colima,28012
06002,Colima,28016
06002,Colima,28018
06002,Colima,28020
06002,Colima,28025
06002,Colima,28035
06002,Colima,28040
06002,Colima,28044
06002,Colima,28046
06002,Colima,28048
06002,Colima,28060
06002,Colima,28067
06002,Colima,28070
06002,Colima,28077
06002,Colima,28079
06002,Colima,28085
06002,Colima,28090
06002,Colima,28602
06002,Colima,28613
06002,Colima,28619
06002,Colima,28627
06002,Colima,28629
06002,Colima,28633
06002,Colima,28635
06002,Colima,28640
06002,Colima,28645
06002,Colima,28647
06002,Colima,28655
06004,Coquimatlán,28402
06004,Coquimatlán,28405
06004,Coquimatlán,28400
06004,Coquimatlán,28403
06004,Coquimatlán,28410
06006,Ixtlahuacán,28701
06006,Ixtlahuacán,28703
06006,Ixtlahuacán,28705
06006,Ixtlahuacán,28717
06006,Ixtlahuacán,28722
06006,Ixtlahuacán,28731
06006,Ixtlahuacán,28733
06006,Ixtlahuacán,28735
06006,Ixtlahuacán,28700
06006,Ixtlahuacán,28702
06006,Ixtlahuacán,28704
06006,Ixtlahuacán,28712
06006,Ixtlahuacán,28720
06006,Ixtlahuacán,28724
06006,Ixtlahuacán,28732
06006,Ixtlahuacán,28734
06006,Ixtlahuacán,28739
06008,Minatitlán,28760
06008,Minatitlán,28765
06008,Minatitlán,28772
06008,Minatitlán,28780
06008,Minatitlán,28784
06008,Minatitlán,28788
06008,Minatitlán,28795
06008,Minatitlán,28750
06008,Minatitlán,28761
06008,Minatitlán,28767
06008,Minatitlán,28774
06008,Minatitlán,28783
06008,Minatitlán,28785
06008,Minatitlán,28792
06008,Minatitlán,28796
06010,Villa de Álvarez,28952
06010,Villa de Álvarez,28958
06010,Villa de Álvarez,28960
06010,Villa de Álvarez,28964
06010,Villa de Álvarez,28966
06010,Villa de Álvarez,28970
06010,Villa de Álvarez,28974
06010,Villa de Álvarez,28976
06010,Villa de Álvarez,28978
06010,Villa de Álvarez,28980
06010,Villa de Álvarez,28983
06010,Villa de Álvarez,28985
06010,Villa de Álvarez,28987
06010,Villa de Álvarez,28989
06010,Villa de Álvarez,28950
06010,Villa de Álvarez,28955
06010,Villa de Álvarez,28959
06010,Villa de Álvarez,28963
06010,Villa de Álvarez,28965
06010,Villa de Álvarez,28968
06010,Villa de Álvarez,28973
06010,Villa de Álvarez,28975
06010,Villa de Álvarez,28977
06010,Villa de Álvarez,28979
06010,Villa de Álvarez,28982
06010,Villa de Álvarez,28984
06010,Villa de Álvarez,28986
06010,Villa de Álvarez,28988
06001,Armería,28304
06001,Armería,28306
06001,Armería,28310
06001,Armería,28317
06001,Armería,28330
06001,Armería,28340
06001,Armería,28349
06001,Armería,28362
06001,Armería,28300
06001,Armería,28305
06001,Armería,28307
06001,Armería,28315
06001,Armería,28320
06001,Armería,28335
06001,Armería,28348
06001,Armería,28350
06003,Comala,28452
06003,Comala,28455
06003,Comala,28459
06003,Comala,28461
06003,Comala,28463
06003,Comala,28465
06003,Comala,28469
06003,Comala,28450
06003,Comala,28454
06003,Comala,28457
06003,Comala,28460
06003,Comala,28462
06003,Comala,28464
06003,Comala,28466
06005,Cuauhtémoc,28504
06005,Cuauhtémoc,28507
06005,Cuauhtémoc,28510
06005,Cuauhtémoc,28514
06005,Cuauhtémoc,28516
06005,Cuauhtémoc,28520
06005,Cuauhtémoc,28522
06005,Cuauhtémoc,28530
06005,Cuauhtémoc,28532
06005,Cuauhtémoc,28553
06005,Cuauhtémoc,28555
06005,Cuauhtémoc,28590
06005,Cuauhtémoc,28599
06005,Cuauhtémoc,28500
06005,Cuauhtémoc,28506
06005,Cuauhtémoc,28509
06005,Cuauhtémoc,28513
06005,Cuauhtémoc,28515
06005,Cuauhtémoc,28517
06005,Cuauhtémoc,28521
06005,Cuauhtémoc,28523
06005,Cuauhtémoc,28531
06005,Cuauhtémoc,28550
06005,Cuauhtémoc,28554
06005,Cuauhtémoc,28557
06005,Cuauhtémoc,28597
06007,Manzanillo,28209
06007,Manzanillo,28217
06007,Manzanillo,28219
06007,Manzanillo,28236
06007,Manzanillo,28238
06007,Manzanillo,28240
06007,Manzanillo,28259
06007,Manzanillo,28269
06007,Manzanillo,28277
06007,Manzanillo,28279
06007,Manzanillo,28800
06007,Manzanillo,28808
06007,Manzanillo,28810
06007,Manzanillo,28812
06007,Manzanillo,28814
06007,Manzanillo,28817
06007,Manzanillo,28820
06007,Manzanillo,28826
06007,Manzanillo,28833
06007,Manzanillo,28836
06007,Manzanillo,28838
06007,Manzanillo,28844
06007,Manzanillo,28850
06007,Manzanillo,28858
06007,Manzanillo,28863
06007,Manzanillo,28865
06007,Manzanillo,28868
06007,Manzanillo,28870
06007,Manzanillo,28875
06007,Manzanillo,28877
06007,Manzanillo,28879
06007,Manzanillo,28884
06007,Manzanillo,28886
06007,Manzanillo,28200
06007,Manzanillo,28210
06007,Manzanillo,28218
06007,Manzanillo,28230
06007,Manzanillo,28237
06007,Manzanillo,28239
06007,Manzanillo,28250
06007,Manzanillo,28260
06007,Manzanillo,28270
06007,Manzanillo,28278
06007,Manzanillo,28280
06007,Manzanillo,28807
06007,Manzanillo,28809
06007,Manzanillo,28811
06007,Manzanillo,28813
06007,Manzanillo,28815
06007,Manzanillo,28819
06007,Manzanillo,28825
06007,Manzanillo,28830
06007,Manzanillo,28834
06007,Manzanillo,28837
06007,Manzanillo,28840
06007,Manzanillo,28849
06007,Manzanillo,28855
06007,Manzanillo,28860
06007,Manzanillo,28864
06007,Manzanillo,28867
06007,Manzanillo,28869
06007,Manzanillo,28872
06007,Manzanillo,28876
06007,Manzanillo,28878
06007,Manzanillo,28880
06007,Manzanillo,28885
06007,Manzanillo,28887
06009,Tecomán,28110
06009,Tecomán,28114
06009,Tecomán,28123
06009,Tecomán,28133
06009,Tecomán,28140
06009,Tecomán,28150
06009,Tecomán,28160
06009,Tecomán,28180
06009,Tecomán,28189
06009,Tecomán,28900
06009,Tecomán,28910
06009,Tecomán,28920
06009,Tecomán,28930
06009,Tecomán,28935
06009,Tecomán,28937
06009,Tecomán,28940
06009,Tecomán,28945
06009,Tecomán,28100
06009,Tecomán,28113
06009,Tecomán,28120
06009,Tecomán,28130
06009,Tecomán,28134
06009,Tecomán,28143
06009,Tecomán,28159
06009,Tecomán,28170
06009,Tecomán,28184
06009,Tecomán,28190
06009,Tecomán,28906
06009,Tecomán,28915
06009,Tecomán,28929
06009,Tecomán,28934
06009,Tecomán,28936
06009,Tecomán,28938
06009,Tecomán,28944
06009,Tecomán,28947
