CVEGEO,Nombre,CP
09002,Azcapotzalco,02008
09002,Azcapotzalco,02020
09002,Azcapotzalco,02050
09002,Azcapotzalco,02070
09002,Azcapotzalco,02090
09002,Azcapotzalco,02100
09002,Azcapotzalco,02110
09002,Azcapotzalco,02125
09002,Azcapotzalco,02128
09002,Azcapotzalco,02130
09002,Azcapotzalco,02150
09002,Azcapotzalco,02169
09002,Azcapotzalco,02230
09002,Azcapotzalco,02250
09002,Azcapotzalco,02300
09002,Azcapotzalco,02320
09002,Azcapotzalco,02340
09002,Azcapotzalco,02360
09002,Azcapotzalco,02409
09002,Azcapotzalco,02419
09002,Azcapotzalco,02430
09002,Azcapotzalco,02450
09002,Azcapotzalco,02460
09002,Azcapotzalco,02479
09002,Azcapotzalco,02490
09002,Azcapotzalco,02510
09002,Azcapotzalco,02520
09002,Azcapotzalco,02530
09002,Azcapotzalco,02600
09002,Azcapotzalco,02640
09002,Azcapotzalco,02660
09002,Azcapotzalco,02680
09002,Azcapotzalco,02710
09002,Azcapotzalco,02719
09002,Azcapotzalco,02729
09002,Azcapotzalco,02739
09002,Azcapotzalco,02760
09002,Azcapotzalco,02780
09002,Azcapotzalco,02800
09002,Azcapotzalco,02830
09002,Azcapotzalco,02850
09002,Azcapotzalco,02870
09002,Azcapotzalco,02910
09002,Azcapotzalco,02930
09002,Azcapotzalco,02950
09002,Azcapotzalco,02970
09002,Azcapotzalco,02990
09002,Azcapotzalco,02000
09002,Azcapotzalco,02010
09002,Azcapotzalco,02040
09002,Azcapotzalco,02060
09002,Azcapotzalco,02080
09002,Azcapotzalco,02099
09002,Azcapotzalco,02109
09002,Azcapotzalco,02120
09002,Azcapotzalco,02127
09002,Azcapotzalco,02129
09002,Azcapotzalco,02140
09002,Azcapotzalco,02160
09002,Azcapotzalco,02200
09002,Azcapotzalco,02240
09002,Azcapotzalco,02260
09002,Azcapotzalco,02310
09002,Azcapotzalco,02330
09002,Azcapotzalco,02350
09002,Azcapotzalco,02400
09002,Azcapotzalco,02410
09002,Azcapotzalco,02420
09002,Azcapotzalco,02440
09002,Azcapotzalco,02459
09002,Azcapotzalco,02470
09002,Azcapotzalco,02480
09002,Azcapotzalco,02500
09002,Azcapotzalco,02519
09002,Azcapotzalco,02525
09002,Azcapotzalco,02540
09002,Azcapotzalco,02630
09002,Azcapotzalco,02650
09002,Azcapotzalco,02670
09002,Azcapotzalco,02700
09002,Azcapotzalco,02718
09002,Azcapotzalco,02720
09002,Azcapotzalco,02730
09002,Azcapotzalco,02750
09002,Azcapotzalco,02770
09002,Azcapotzalco,02790
09002,Azcapotzalco,02810
09002,Azcapotzalco,02840
09002,Azcapotzalco,02860
09002,Azcapotzalco,02900
09002,Azcapotzalco,02920
09002,Azcapotzalco,02940
09002,Azcapotzalco,02960
09002,Azcapotzalco,02980
09003,Coyoacán,04009
09003,Coyoacán,04020
09003,Coyoacán,04040
09003,Coyoacán,04110
09003,Coyoacán,04129
09003,Coyoacán,04210
09003,Coyoacán,04239
09003,Coyoacán,04250
09003,Coyoacán,04260
09003,Coyoacán,04280
09003,Coyoacán,04307
