CVEGEO,Nombre,CP
10002,Canelas,34510
10002,Canelas,34514
10002,Canelas,34516
10002,Canelas,34520
10002,Canelas,34524
10002,Canelas,34526
10002,Canelas,34530
10002,Canelas,34534
10002,Canelas,34536
10002,Canelas,34500
10002,Canelas,34513
10002,Canelas,34515
10002,Canelas,34517
10002,Canelas,34523
10002,Canelas,34525
10002,Canelas,34527
10002,Canelas,34533
10002,Canelas,34535
10002,Canelas,34537
10004,Cuencamé,35803
10004,Cuencamé,35805
10004,Cuencamé,35807
10004,Cuencamé,35813
10004,Cuencamé,35815
10004,Cuencamé,35817
10004,Cuencamé,35823
10004,Cuencamé,35825
10004,Cuencamé,35827
10004,Cuencamé,35833
10004,Cuencamé,35835
10004,Cuencamé,35840
10004,Cuencamé,35846
10004,Cuencamé,35850
10004,Cuencamé,35854
10004,Cuencamé,35857
10004,Cuencamé,35863
10004,Cuencamé,35865
10004,Cuencamé,35874
10004,Cuencamé,35876
10004,Cuencamé,35800
10004,Cuencamé,35804
10004,Cuencamé,35806
10004,Cuencamé,35810
10004,Cuencamé,35814
10004,Cuencamé,35816
10004,Cuencamé,35820
10004,Cuencamé,35824
10004,Cuencamé,35826
10004,Cuencamé,35830
10004,Cuencamé,35834
10004,Cuencamé,35837
10004,Cuencamé,35844
10004,Cuencamé,35847
10004,Cuencamé,35853
10004,Cuencamé,35856
10004,Cuencamé,35860
10004,Cuencamé,35864
10004,Cuencamé,35870
10004,Cuencamé,35875
10004,Cuencamé,35877
10018,El Oro,35654
10018,El Oro,35657
10018,El Oro,35663
10018,El Oro,35665
10018,El Oro,35667
10018,El Oro,35673
10018,El Oro,35675
10018,El Oro,35677
10018,El Oro,35683
10018,El Oro,35685
10018,El Oro,35687
10018,El Oro,35693
10018,El Oro,35695
10018,El Oro,35697
10018,El Oro,35650
10018,El Oro,35656
10018,El Oro,35660
10018,El Oro,35664
10018,El Oro,35666
10018,El Oro,35670
10018,El Oro,35674
10018,El Oro,35676
10018,El Oro,35680
10018,El Oro,35684
10018,El Oro,35686
10018,El Oro,35690
10018,El Oro,35694
10018,El Oro,35696
10018,El Oro,35698
10007,Gómez Palacio,35003
10007,Gómez Palacio,35013
10007,Gómez Palacio,35015
10007,Gómez Palacio,35017
10007,Gómez Palacio,35019
10007,Gómez Palacio,35023
10007,Gómez Palacio,35025
10007,Gómez Palacio,35027
10007,Gómez Palacio,35029
10007,Gómez Palacio,35038
10007,Gómez Palacio,35040
10007,Gómez Palacio,35044
10007,Gómez Palacio,35046
10007,Gómez Palacio,35048
10007,Gómez Palacio,35050
10007,Gómez Palacio,35055
10007,Gómez Palacio,35057
10007,Gómez Palacio,35059
10007,Gómez Palacio,35064
10007,Gómez Palacio,35066
10007,Gómez Palacio,35068
10007,Gómez Palacio,35070
10007,Gómez Palacio,35073
10007,Gómez Palacio,35075
10007,Gómez Palacio,35077
10007,Gómez Palacio,35079
10007,Gómez Palacio,35090
10007,Gómez Palacio,35100
10007,Gómez Palacio,35102
10007,Gómez Palacio,35104
10007,Gómez Palacio,35106
10007,Gómez Palacio,35110
