CVEGEO,Nombre,CP
12076,Acatepec,41423
12076,Acatepec,41425
12076,Acatepec,41427
12076,Acatepec,41430
12076,Acatepec,41434
12076,Acatepec,41436
12076,Acatepec,41438
12076,Acatepec,41410
12076,Acatepec,41424
12076,Acatepec,41426
12076,Acatepec,41428
12076,Acatepec,41433
12076,Acatepec,41435
12076,Acatepec,41437
12076,Acatepec,41439
12003,Ajuchitlán del Progreso,40731
12003,Ajuchitlán del Progreso,40733
12003,Ajuchitlán del Progreso,40735
12003,Ajuchitlán del Progreso,40737
12003,Ajuchitlán del Progreso,40741
12003,Ajuchitlán del Progreso,40745
12003,Ajuchitlán del Progreso,40747
12003,Ajuchitlán del Progreso,40750
12003,Ajuchitlán del Progreso,40754
12003,Ajuchitlán del Progreso,40730
12003,Ajuchitlán del Progreso,40732
12003,Ajuchitlán del Progreso,40734
12003,Ajuchitlán del Progreso,40736
12003,Ajuchitlán del Progreso,40740
12003,Ajuchitlán del Progreso,40744
12003,Ajuchitlán del Progreso,40746
12003,Ajuchitlán del Progreso,40748
12003,Ajuchitlán del Progreso,40751
12003,Ajuchitlán del Progreso,40758
12005,Alpoyeca,41272
12005,Alpoyeca,41270
12005,Alpoyeca,41280
12007,Arcelia,40502
12007,Arcelia,40505
12007,Arcelia,40507
12007,Arcelia,40509
12007,Arcelia,40511
12007,Arcelia,40513
12007,Arcelia,40515
12007,Arcelia,40517
12007,Arcelia,40520
12007,Arcelia,40522
12007,Arcelia,40528
12007,Arcelia,40500
12007,Arcelia,40503
12007,Arcelia,40506
12007,Arcelia,40508
12007,Arcelia,40510
12007,Arcelia,40512
12007,Arcelia,40514
12007,Arcelia,40516
12007,Arcelia,40518
12007,Arcelia,40521
12007,Arcelia,40523
12007,Arcelia,40529
12009,Atlamajalcingo del Monte,41570
12011,Atoyac de Álvarez,40932
12011,Atoyac de Álvarez,40934
12011,Atoyac de Álvarez,40936
12011,Atoyac de Álvarez,40938
12011,Atoyac de Álvarez,40940
12011,Atoyac de Álvarez,40942
12011,Atoyac de Álvarez,40944
12011,Atoyac de Álvarez,40949
12011,Atoyac de Álvarez,40951
12011,Atoyac de Álvarez,40953
12011,Atoyac de Álvarez,40955
