CVEGEO,Nombre,CP
13002,Acaxochitlán,43721
13002,Acaxochitlán,43724
13002,Acaxochitlán,43726
13002,Acaxochitlán,43728
13002,Acaxochitlán,43731
13002,Acaxochitlán,43734
13002,Acaxochitlán,43736
13002,Acaxochitlán,43720
13002,Acaxochitlán,43723
13002,Acaxochitlán,43725
13002,Acaxochitlán,43727
13002,Acaxochitlán,43730
13002,Acaxochitlán,43733
13002,Acaxochitlán,43735
13002,Acaxochitlán,43739
13004,Agua Blanca de Iturbide,43463
13004,Agua Blanca de Iturbide,43468
13004,Agua Blanca de Iturbide,43470
13004,Agua Blanca de Iturbide,43473
13004,Agua Blanca de Iturbide,43460
13004,Agua Blanca de Iturbide,43464
13004,Agua Blanca de Iturbide,43469
13004,Agua Blanca de Iturbide,43472
13004,Agua Blanca de Iturbide,43474
13006,Alfajayucan,42392
13006,Alfajayucan,42394
13006,Alfajayucan,42396
13006,Alfajayucan,42399
13006,Alfajayucan,42390
13006,Alfajayucan,42393
13006,Alfajayucan,42395
13006,Alfajayucan,42397
13008,Apan,43902
13008,Apan,43904
13008,Apan,43906
13008,Apan,43908
13008,Apan,43915
13008,Apan,43917
13008,Apan,43919
13008,Apan,43921
13008,Apan,43923
13008,Apan,43900
13008,Apan,43903
13008,Apan,43905
13008,Apan,43907
13008,Apan,43909
13008,Apan,43916
13008,Apan,43918
13008,Apan,43920
13008,Apan,43922
13008,Apan,43924
13011,Atlapexco,43061
13011,Atlapexco,43063
13011,Atlapexco,43065
13011,Atlapexco,43067
13011,Atlapexco,43060
13011,Atlapexco,43062
13011,Atlapexco,43064
13011,Atlapexco,43066
13011,Atlapexco,43068
13012,Atotonilco el Grande,43301
13012,Atotonilco el Grande,43304
13012,Atotonilco el Grande,43306
13012,Atotonilco el Grande,43308
13012,Atotonilco el Grande,43310
13012,Atotonilco el Grande,43313
13012,Atotonilco el Grande,43321
13012,Atotonilco el Grande,43324
13012,Atotonilco el Grande,43327
13012,Atotonilco el Grande,43329
13012,Atotonilco el Grande,43300
13012,Atotonilco el Grande,43302
13012,Atotonilco el Grande,43305
13012,Atotonilco el Grande,43307
13012,Atotonilco el Grande,43309
13012,Atotonilco el Grande,43311
13012,Atotonilco el Grande,43320
13012,Atotonilco el Grande,43323
13012,Atotonilco el Grande,43326
13012,Atotonilco el Grande,43328
13015,Cardonal,42372
13015,Cardonal,42374
13015,Cardonal,42376
13015,Cardonal,42379
13015,Cardonal,42370
13015,Cardonal,42373
13015,Cardonal,42375
13015,Cardonal,42377
13018,Chapulhuacán,42282
13018,Chapulhuacán,42284
13018,Chapulhuacán,42286
13018,Chapulhuacán,42291
13018,Chapulhuacán,42295
13018,Chapulhuacán,42298
13018,Chapulhuacán,42280
13018,Chapulhuacán,42283
13018,Chapulhuacán,42285
13018,Chapulhuacán,42290
13018,Chapulhuacán,42294
13018,Chapulhuacán,42296
13016,Cuautepec de Hinojosa,43745
13016,Cuautepec de Hinojosa,43747
13016,Cuautepec de Hinojosa,43749
13016,Cuautepec de Hinojosa,43753
13016,Cuautepec de Hinojosa,43759
13016,Cuautepec de Hinojosa,43740
13016,Cuautepec de Hinojosa,43746
13016,Cuautepec de Hinojosa,43748
13016,Cuautepec de Hinojosa,43750
13016,Cuautepec de Hinojosa,43754
13020,Eloxochitlán,43333
13020,Eloxochitlán,43335
13020,Eloxochitlán,43343
13020,Eloxochitlán,43345
13020,Eloxochitlán,43347
13020,Eloxochitlán,43330
13020,Eloxochitlán,43334
13020,Eloxochitlán,43340
13020,Eloxochitlán,43344
13020,Eloxochitlán,43346
13022,Epazoyucan,43583
13022,Epazoyucan,43585
13022,Epazoyucan,43587
13022,Epazoyucan,43592
13022,Epazoyucan,43594
13022,Epazoyucan,43596
13022,Epazoyucan,43580
13022,Epazoyucan,43584
13022,Epazoyucan,43586
13022,Epazoyucan,43590
13022,Epazoyucan,43593
13022,Epazoyucan,43595
13024,Huasca de Ocampo,43502
13024,Huasca de Ocampo,43505
13024,Huasca de Ocampo,43510
13024,Huasca de Ocampo,43515
13024,Huasca de Ocampo,43517
13024,Huasca de Ocampo,43525
13024,Huasca de Ocampo,43530
13024,Huasca de Ocampo,43500
13024,Huasca de Ocampo,43503
13024,Huasca de Ocampo,43508
13024,Huasca de Ocampo,43514
13024,Huasca de Ocampo,43516
13024,Huasca de Ocampo,43523
13024,Huasca de Ocampo,43527
