CVEGEO,Nombre,CP
14002,Acatlán de Juárez,45706
14002,Acatlán de Juárez,45713
14002,Acatlán de Juárez,45720
14002,Acatlán de Juárez,45700
14002,Acatlán de Juárez,45710
14002,Acatlán de Juárez,45718
14002,Acatlán de Juárez,45723
14004,Amacueca,49375
14004,Amacueca,49388
14004,Amacueca,49370
14004,Amacueca,49380
14006,Ameca,46610
14006,Ameca,46615
14006,Ameca,46620
14006,Ameca,46627
14006,Ameca,46639
14006,Ameca,46649
14006,Ameca,46686
14006,Ameca,46688
14006,Ameca,46700
14006,Ameca,46707
14006,Ameca,46709
14006,Ameca,46715
14006,Ameca,46717
14006,Ameca,46719
14006,Ameca,46723
14006,Ameca,46725
14006,Ameca,46728
14006,Ameca,46600
14006,Ameca,46614
14006,Ameca,46616
14006,Ameca,46626
14006,Ameca,46630
14006,Ameca,46640
14006,Ameca,46680
14006,Ameca,46687
14006,Ameca,46689
14006,Ameca,46706
14006,Ameca,46708
14006,Ameca,46710
14006,Ameca,46716
14006,Ameca,46718
14006,Ameca,46720
14006,Ameca,46724
14006,Ameca,46726
14006,Ameca,46729
14010,Atemajac de Brizuela,45796
14010,Atemajac de Brizuela,45799
14010,Atemajac de Brizuela,45790
14010,Atemajac de Brizuela,45798
14012,Atenguillo,48110
14012,Atenguillo,48130
14012,Atenguillo,48136
14012,Atenguillo,48140
14012,Atenguillo,48146
14012,Atenguillo,48100
14012,Atenguillo,48120
14012,Atenguillo,48135
14012,Atenguillo,48139
14012,Atenguillo,48145
14014,Atoyac,49220
14014,Atoyac,49224
14014,Atoyac,49228
14014,Atoyac,49200
14014,Atoyac,49223
14014,Atoyac,49225
14014,Atoyac,49229
14016,Ayotlán,47934
14016,Ayotlán,47936
14016,Ayotlán,47938
14016,Ayotlán,47940
14016,Ayotlán,47945
14016,Ayotlán,47947
14016,Ayotlán,47949
14016,Ayotlán,47930
14016,Ayotlán,47935
14016,Ayotlán,47937
14016,Ayotlán,47939
14016,Ayotlán,47944
14016,Ayotlán,47946
14016,Ayotlán,47948
14019,Bolaños,46140
14019,Bolaños,46153
14019,Bolaños,46157
14019,Bolaños,46130
14019,Bolaños,46145
14019,Bolaños,46155
14117,Cañadas de Obregón,47368
14117,Cañadas de Obregón,47370
14117,Cañadas de Obregón,47374
14117,Cañadas de Obregón,47360
14117,Cañadas de Obregón,47369
14117,Cañadas de Obregón,47373
14117,Cañadas de Obregón,47378
14030,Chapala,45902
14030,Chapala,45906
14030,Chapala,45908
14030,Chapala,45922
14030,Chapala,45927
14030,Chapala,45933
14030,Chapala,45935
14030,Chapala,45940
14030,Chapala,45944
14030,Chapala,45946
14030,Chapala,45900
14030,Chapala,45903
14030,Chapala,45907
14030,Chapala,45920
14030,Chapala,45925
14030,Chapala,45930
14030,Chapala,45934
14030,Chapala,45936
14030,Chapala,45943
14030,Chapala,45945
14032,Chiquilistlán,48650
14032,Chiquilistlán,48655
14032,Chiquilistlán,48640
14032,Chiquilistlán,48654
14024,Cocula,48502
14024,Cocula,48504
14024,Cocula,48507
14024,Cocula,48509
14024,Cocula,48512
14024,Cocula,48525
14024,Cocula,48530
14024,Cocula,48500
14024,Cocula,48503
14024,Cocula,48506
14024,Cocula,48508
14024,Cocula,48510
14024,Cocula,48520
14024,Cocula,48526
14024,Cocula,48532
14026,Concepción de Buenos Aires,49176
14026,Concepción de Buenos Aires,49178
14026,Concepción de Buenos Aires,49170
14026,Concepción de Buenos Aires,49177
14028,Cuautla,48153
14028,Cuautla,48159
14028,Cuautla,48150
14028,Cuautla,48155
14033,Degollado,47983
14033,Degollado,47986
14033,Degollado,47988
14033,Degollado,47990
14033,Degollado,47994
14033,Degollado,47996
14033,Degollado,47998
14033,Degollado,47980
14033,Degollado,47984
14033,Degollado,47987
14033,Degollado,47989
14033,Degollado,47993
14033,Degollado,47995
14033,Degollado,47997
14009,El Arenal,45355
14009,El Arenal,45360
14009,El Arenal,45350
14009,El Arenal,45359
14009,El Arenal,45368
14054,El Limón,48708
14054,El Limón,48715
14054,El Limón,48725
14054,El Limón,48739
14054,El Limón,48700
14054,El Limón,48710
14054,El Limón,48720
14054,El Limón,48730
14035,Encarnación de Díaz,47272
14035,Encarnación de Díaz,47275
14035,Encarnación de Díaz,47281
14035,Encarnación de Díaz,47283
14035,Encarnación de Díaz,47288
14035,Encarnación de Díaz,47293
14035,Encarnación de Díaz,47295
14035,Encarnación de Díaz,47298
14035,Encarnación de Díaz,47270
14035,Encarnación de Díaz,47274
14035,Encarnación de Díaz,47280
14035,Encarnación de Díaz,47282
14035,Encarnación de Díaz,47285
14035,Encarnación de Díaz,47290
14035,Encarnación de Díaz,47294
14035,Encarnación de Díaz,47296
14079,Gómez Farías,49125
14079,Gómez Farías,49140
14079,Gómez Farías,49120
14079,Gómez Farías,49130
14079,Gómez Farías,49150
14039,Guadalajara,44100
14039,Guadalajara,44130
14039,Guadalajara,44150
14039,Guadalajara,44160
14039,Guadalajara,44180
14039,Guadalajara,44200
14039,Guadalajara,44214
14039,Guadalajara,44216
14039,Guadalajara,44218
14039,Guadalajara,44220
14039,Guadalajara,44230
14039,Guadalajara,44246
14039,Guadalajara,44249
14039,Guadalajara,44257
14039,Guadalajara,44259
14039,Guadalajara,44265
14039,Guadalajara,44267
14039,Guadalajara,44270
14039,Guadalajara,44290
14039,Guadalajara,44299
14039,Guadalajara,44306
14039,Guadalajara,44320
14039,Guadalajara,44330
14039,Guadalajara,44350
14039,Guadalajara,44370
14039,Guadalajara,44390
14039,Guadalajara,44398
14039,Guadalajara,44400
14039,Guadalajara,44420
14039,Guadalajara,44438
14039,Guadalajara,44450
14039,Guadalajara,44467
14039,Guadalajara,44470
14039,Guadalajara,44493
14039,Guadalajara,44509
14039,Guadalajara,44520
14039,Guadalajara,44535
14039,Guadalajara,44540
14039,Guadalajara,44550
14039,Guadalajara,44560
14039,Guadalajara,44600
14039,Guadalajara,44619
14039,Guadalajara,44630
14039,Guadalajara,44638
14039,Guadalajara,44647
14039,Guadalajara,44650
14039,Guadalajara,44657
14039,Guadalajara,44659
14039,Guadalajara,44665
14039,Guadalajara,44668
14039,Guadalajara,44678
14039,Guadalajara,44680
14039,Guadalajara,44690
14039,Guadalajara,44710
14039,Guadalajara,44719
14039,Guadalajara,44723
14039,Guadalajara,44725
14039,Guadalajara,44727
14039,Guadalajara,44730
14039,Guadalajara,44740
14039,Guadalajara,44750
14039,Guadalajara,44757
14039,Guadalajara,44765
14039,Guadalajara,44768
14039,Guadalajara,44770
14039,Guadalajara,44790
14039,Guadalajara,44800
14039,Guadalajara,44815
14039,Guadalajara,44818
14039,Guadalajara,44824
14039,Guadalajara,44827
14039,Guadalajara,44829
14039,Guadalajara,44860
14039,Guadalajara,44879
14039,Guadalajara,44895
14039,Guadalajara,44897
14039,Guadalajara,44899
14039,Guadalajara,44910
14039,Guadalajara,44919
14039,Guadalajara,44929
14039,Guadalajara,44940
14039,Guadalajara,44949
14039,Guadalajara,44956
14039,Guadalajara,44960
14039,Guadalajara,44967
14039,Guadalajara,44970
14039,Guadalajara,44978
14039,Guadalajara,44984
14039,Guadalajara,44986
14039,Guadalajara,44989
14039,Guadalajara,44009
14039,Guadalajara,44110
14039,Guadalajara,44140
14039,Guadalajara,44158
14039,Guadalajara,44170
14039,Guadalajara,44190
14039,Guadalajara,44210
14039,Guadalajara,44215
14039,Guadalajara,44217
14039,Guadalajara,44219
14039,Guadalajara,44227
14039,Guadalajara,44240
14039,Guadalajara,44247
14039,Guadalajara,44250
14039,Guadalajara,44258
14039,Guadalajara,44260
14039,Guadalajara,44266
14039,Guadalajara,44268
14039,Guadalajara,44280
14039,Guadalajara,44298
14039,Guadalajara,44300
14039,Guadalajara,44307
14039,Guadalajara,44329
14039,Guadalajara,44340
14039,Guadalajara,44360
14039,Guadalajara,44380
14039,Guadalajara,44395
14039,Guadalajara,44399
14039,Guadalajara,44410
14039,Guadalajara,44430
14039,Guadalajara,44440
14039,Guadalajara,44460
14039,Guadalajara,44469
14039,Guadalajara,44490
14039,Guadalajara,44500
14039,Guadalajara,44510
14039,Guadalajara,44530
14039,Guadalajara,44538
14039,Guadalajara,44549
14039,Guadalajara,44559
14039,Guadalajara,44580
14039,Guadalajara,44610
14039,Guadalajara,44620
14039,Guadalajara,44635
14039,Guadalajara,44639
14039,Guadalajara,44648
14039,Guadalajara,44656
14039,Guadalajara,44658
14039,Guadalajara,44660
14039,Guadalajara,44667
14039,Guadalajara,44670
14039,Guadalajara,44679
14039,Guadalajara,44689
14039,Guadalajara,44700
14039,Guadalajara,44716
14039,Guadalajara,44720
14039,Guadalajara,44724
14039,Guadalajara,44726
14039,Guadalajara,44729
14039,Guadalajara,44737
14039,Guadalajara,44748
14039,Guadalajara,44755
14039,Guadalajara,44760
14039,Guadalajara,44766
14039,Guadalajara,44769
14039,Guadalajara,44780
14039,Guadalajara,44799
14039,Guadalajara,44810
14039,Guadalajara,44817
14039,Guadalajara,44820
14039,Guadalajara,44825
14039,Guadalajara,44828
14039,Guadalajara,44840
14039,Guadalajara,44870
14039,Guadalajara,44890
14039,Guadalajara,44896
14039,Guadalajara,44898
14039,Guadalajara,44900
14039,Guadalajara,44918
14039,Guadalajara,44920
14039,Guadalajara,44930
14039,Guadalajara,44948
14039,Guadalajara,44950
14039,Guadalajara,44959
14039,Guadalajara,44966
14039,Guadalajara,44969
14039,Guadalajara,44977
14039,Guadalajara,44980
14039,Guadalajara,44985
14039,Guadalajara,44987
14039,Guadalajara,44990
14041,Huejúcar,46270
14041,Huejúcar,46280
14041,Huejúcar,46282
14041,Huejúcar,46290
14041,Huejúcar,46260
14041,Huejúcar,46276
14041,Huejúcar,46281
14041,Huejúcar,46288
14041,Huejúcar,46299
14044,Ixtlahuacán de los Membrillos,45857
14044,Ixtlahuacán de los Membrillos,45870
14044,Ixtlahuacán de los Membrillos,45877
14044,Ixtlahuacán de los Membrillos,45850
14044,Ixtlahuacán de los Membrillos,45860
14044,Ixtlahuacán de los Membrillos,45876
14046,Jalostotitlán,47122
14046,Jalostotitlán,47124
14046,Jalostotitlán,47126
14046,Jalostotitlán,47128
14046,Jalostotitlán,47130
14046,Jalostotitlán,47135
14046,Jalostotitlán,47138
14046,Jalostotitlán,47120
14046,Jalostotitlán,47123
14046,Jalostotitlán,47125
14046,Jalostotitlán,47127
14046,Jalostotitlán,47129
14046,Jalostotitlán,47133
14046,Jalostotitlán,47137
14046,Jalostotitlán,47139
14048,Jesús María,47952
14048,Jesús María,47956
14048,Jesús María,47959
14048,Jesús María,47964
14048,Jesús María,47970
14048,Jesús María,47975
14048,Jesús María,47977
14048,Jesús María,47950
14048,Jesús María,47955
14048,Jesús María,47958
14048,Jesús María,47960
14048,Jesús María,47965
14048,Jesús María,47974
14048,Jesús María,47976
14050,Jocotepec,45802
14050,Jocotepec,45804
14050,Jocotepec,45806
14050,Jocotepec,45810
14050,Jocotepec,45812
14050,Jocotepec,45816
14050,Jocotepec,45825
14050,Jocotepec,45840
14050,Jocotepec,45800
14050,Jocotepec,45803
14050,Jocotepec,45805
14050,Jocotepec,45807
14050,Jocotepec,45811
14050,Jocotepec,45815
14050,Jocotepec,45820
14050,Jocotepec,45830
14052,Juchitlán,48605
14052,Juchitlán,48615
14052,Juchitlán,48625
14052,Juchitlán,48630
14052,Juchitlán,48600
14052,Juchitlán,48610
14052,Juchitlán,48620
14052,Juchitlán,48628
14052,Juchitlán,48635
