CVEGEO,Nombre,CP
16002,Aguililla,60571
16002,Aguililla,60574
16002,Aguililla,60576
16002,Aguililla,60578
16002,Aguililla,60581
16002,Aguililla,60583
16002,Aguililla,60585
16002,Aguililla,60587
16002,Aguililla,60593
16002,Aguililla,60595
16002,Aguililla,60597
16002,Aguililla,60570
16002,Aguililla,60573
16002,Aguililla,60575
16002,Aguililla,60577
16002,Aguililla,60580
16002,Aguililla,60582
16002,Aguililla,60584
16002,Aguililla,60586
16002,Aguililla,60590
16002,Aguililla,60594
16002,Aguililla,60596
16004,Angamacutiro,58552
16004,Angamacutiro,58558
16004,Angamacutiro,58560
16004,Angamacutiro,58564
16004,Angamacutiro,58567
16004,Angamacutiro,58550
16004,Angamacutiro,58557
16004,Angamacutiro,58559
16004,Angamacutiro,58563
16004,Angamacutiro,58566
16006,Apatzingán,60610
16006,Apatzingán,60616
16006,Apatzingán,60620
16006,Apatzingán,60627
16006,Apatzingán,60630
16006,Apatzingán,60637
16006,Apatzingán,60640
16006,Apatzingán,60654
16006,Apatzingán,60656
16006,Apatzingán,60660
16006,Apatzingán,60664
16006,Apatzingán,60670
16006,Apatzingán,60674
16006,Apatzingán,60677
16006,Apatzingán,60683
16006,Apatzingán,60685
16006,Apatzingán,60690
16006,Apatzingán,60694
16006,Apatzingán,60696
16006,Apatzingán,60698
16006,Apatzingán,60700
16006,Apatzingán,60713
16006,Apatzingán,60715
16006,Apatzingán,60720
16006,Apatzingán,60725
16006,Apatzingán,60727
16006,Apatzingán,60730
16006,Apatzingán,60735
16006,Apatzingán,60737
16006,Apatzingán,60742
16006,Apatzingán,60744
16006,Apatzingán,60746
16006,Apatzingán,60753
16006,Apatzingán,60756
16006,Apatzingán,60600
16006,Apatzingán,60615
16006,Apatzingán,60619
16006,Apatzingán,60626
16006,Apatzingán,60628
16006,Apatzingán,60633
16006,Apatzingán,60639
16006,Apatzingán,60650
16006,Apatzingán,60655
16006,Apatzingán,60658
16006,Apatzingán,60663
16006,Apatzingán,60667
16006,Apatzingán,60673
16006,Apatzingán,60676
16006,Apatzingán,60680
16006,Apatzingán,60684
16006,Apatzingán,60689
16006,Apatzingán,60693
16006,Apatzingán,60695
16006,Apatzingán,60697
16006,Apatzingán,60699
16006,Apatzingán,60710
16006,Apatzingán,60714
16006,Apatzingán,60717
16006,Apatzingán,60724
16006,Apatzingán,60726
16006,Apatzingán,60728
16006,Apatzingán,60734
16006,Apatzingán,60736
16006,Apatzingán,60740
16006,Apatzingán,60743
16006,Apatzingán,60745
16006,Apatzingán,60750
16006,Apatzingán,60754
16006,Apatzingán,60757
16008,Aquila,60873
16008,Aquila,60875
16008,Aquila,60877
16008,Aquila,60880
16008,Aquila,60884
16008,Aquila,60886
16008,Aquila,60888
16008,Aquila,60893
16008,Aquila,60895
16008,Aquila,60897
16008,Aquila,60870
16008,Aquila,60874
16008,Aquila,60876
