CVEGEO,Nombre,CP
18002,Ahuacatlán,63904
18002,Ahuacatlán,63910
18002,Ahuacatlán,63913
18002,Ahuacatlán,63920
18002,Ahuacatlán,63925
18002,Ahuacatlán,63928
18002,Ahuacatlán,63935
18002,Ahuacatlán,63900
18002,Ahuacatlán,63905
18002,Ahuacatlán,63911
18002,Ahuacatlán,63915
18002,Ahuacatlán,63923
18002,Ahuacatlán,63927
18002,Ahuacatlán,63930
18002,Ahuacatlán,63938
18020,Bahía de Banderas,63728
18020,Bahía de Banderas,63730
18020,Bahía de Banderas,63734
18020,Bahía de Banderas,63736
18020,Bahía de Banderas,63738
18020,Bahía de Banderas,63726
18020,Bahía de Banderas,63729
18020,Bahía de Banderas,63732
18020,Bahía de Banderas,63735
18020,Bahía de Banderas,63737
18020,Bahía de Banderas,63739
18009,Del Nayar,63533
18009,Del Nayar,63535
18009,Del Nayar,63537
18009,Del Nayar,63539
18009,Del Nayar,63543
18009,Del Nayar,63545
18009,Del Nayar,63547
18009,Del Nayar,63549
18009,Del Nayar,63530
18009,Del Nayar,63534
18009,Del Nayar,63536
18009,Del Nayar,63538
18009,Del Nayar,63540
18009,Del Nayar,63544
18009,Del Nayar,63546
18009,Del Nayar,63548
18006,Ixtlán del Río,63944
18006,Ixtlán del Río,63946
18006,Ixtlán del Río,63950
18006,Ixtlán del Río,63954
18006,Ixtlán del Río,63956
18006,Ixtlán del Río,63958
18006,Ixtlán del Río,63940
18006,Ixtlán del Río,63945
18006,Ixtlán del Río,63947
18006,Ixtlán del Río,63953
18006,Ixtlán del Río,63955
18006,Ixtlán del Río,63957
18006,Ixtlán del Río,63959
18019,La Yesca,63582
18019,La Yesca,63584
18019,La Yesca,63587
18019,La Yesca,63593
18019,La Yesca,63595
18019,La Yesca,63580
18019,La Yesca,63583
18019,La Yesca,63586
18019,La Yesca,63590
18019,La Yesca,63594
18019,La Yesca,63596
18011,Ruíz,63603
18011,Ruíz,63605
18011,Ruíz,63607
18011,Ruíz,63613
18011,Ruíz,63615
18011,Ruíz,63617
18011,Ruíz,63619
18011,Ruíz,63622
18011,Ruíz,63625
18011,Ruíz,63627
18011,Ruíz,63600
18011,Ruíz,63604
18011,Ruíz,63606
18011,Ruíz,63610
18011,Ruíz,63614
18011,Ruíz,63616
18011,Ruíz,63618
18011,Ruíz,63620
18011,Ruíz,63623
18011,Ruíz,63626
18011,Ruíz,63628
18013,San Pedro Lagunillas,63804
18013,San Pedro Lagunillas,63807
18013,San Pedro Lagunillas,63810
18013,San Pedro Lagunillas,63826
18013,San Pedro Lagunillas,63800
18013,San Pedro Lagunillas,63806
18013,San Pedro Lagunillas,63809
18013,San Pedro Lagunillas,63820
18015,Santiago Ixcuintla,63310
18015,Santiago Ixcuintla,63312
18015,Santiago Ixcuintla,63320
18015,Santiago Ixcuintla,63330
18015,Santiago Ixcuintla,63341
18015,Santiago Ixcuintla,63351
18015,Santiago Ixcuintla,63360
18015,Santiago Ixcuintla,63382
18015,Santiago Ixcuintla,63384
18015,Santiago Ixcuintla,63386
18015,Santiago Ixcuintla,63552
18015,Santiago Ixcuintla,63554
18015,Santiago Ixcuintla,63556
18015,Santiago Ixcuintla,63558
18015,Santiago Ixcuintla,63560
18015,Santiago Ixcuintla,63562
18015,Santiago Ixcuintla,63564
18015,Santiago Ixcuintla,63567
18015,Santiago Ixcuintla,63570
18015,Santiago Ixcuintla,63575
18015,Santiago Ixcuintla,63577
18015,Santiago Ixcuintla,63579
18015,Santiago Ixcuintla,63300
18015,Santiago Ixcuintla,63311
18015,Santiago Ixcuintla,63313
18015,Santiago Ixcuintla,63321
18015,Santiago Ixcuintla,63340
18015,Santiago Ixcuintla,63350
18015,Santiago Ixcuintla,63352
18015,Santiago Ixcuintla,63380
18015,Santiago Ixcuintla,63383
18015,Santiago Ixcuintla,63385
18015,Santiago Ixcuintla,63550
18015,Santiago Ixcuintla,63553
18015,Santiago Ixcuintla,63555
18015,Santiago Ixcuintla,63557
18015,Santiago Ixcuintla,63559
18015,Santiago Ixcuintla,63561
18015,Santiago Ixcuintla,63563
18015,Santiago Ixcuintla,63565
18015,Santiago Ixcuintla,63568
18015,Santiago Ixcuintla,63573
18015,Santiago Ixcuintla,63576
18015,Santiago Ixcuintla,63578
18017,Tepic,63009
18017,Tepic,63018
18017,Tepic,63020
18017,Tepic,63022
18017,Tepic,63030
18017,Tepic,63037
18017,Tepic,63039
18017,Tepic,63050
18017,Tepic,63059
18017,Tepic,63061
18017,Tepic,63066
18017,Tepic,63068
18017,Tepic,63070
18017,Tepic,63081
18017,Tepic,63083
18017,Tepic,63088
18017,Tepic,63100
18017,Tepic,63110
18017,Tepic,63115
18017,Tepic,63117
18017,Tepic,63120
18017,Tepic,63128
18017,Tepic,63130
18017,Tepic,63136
18017,Tepic,63138
18017,Tepic,63147
18017,Tepic,63150
18017,Tepic,63156
18017,Tepic,63158
18017,Tepic,63160
18017,Tepic,63164
18017,Tepic,63167
18017,Tepic,63169
18017,Tepic,63172
18017,Tepic,63174
18017,Tepic,63176
18017,Tepic,63178
18017,Tepic,63180
18017,Tepic,63184
18017,Tepic,63186
18017,Tepic,63190
18017,Tepic,63194
18017,Tepic,63196
18017,Tepic,63198
18017,Tepic,63500
18017,Tepic,63502
18017,Tepic,63504
18017,Tepic,63506
18017,Tepic,63508
18017,Tepic,63510
18017,Tepic,63512
18017,Tepic,63514
18017,Tepic,63516
18017,Tepic,63518
18017,Tepic,63520
18017,Tepic,63523
18017,Tepic,63526
18017,Tepic,63528
18017,Tepic,63000
18017,Tepic,63010
18017,Tepic,63019
18017,Tepic,63021
18017,Tepic,63023
18017,Tepic,63035
18017,Tepic,63038
18017,Tepic,63040
18017,Tepic,63058
18017,Tepic,63060
18017,Tepic,63062
18017,Tepic,63067
18017,Tepic,63069
18017,Tepic,63080
18017,Tepic,63082
18017,Tepic,63084
18017,Tepic,63089
18017,Tepic,63109
18017,Tepic,63114
18017,Tepic,63116
18017,Tepic,63119
18017,Tepic,63125
18017,Tepic,63129
18017,Tepic,63135
18017,Tepic,63137
18017,Tepic,63139
18017,Tepic,63149
18017,Tepic,63155
18017,Tepic,63157
18017,Tepic,63159
18017,Tepic,63163
18017,Tepic,63166
18017,Tepic,63168
18017,Tepic,63170
18017,Tepic,63173
18017,Tepic,63175
18017,Tepic,63177
18017,Tepic,63179
18017,Tepic,63183
18017,Tepic,63185
18017,Tepic,63189
18017,Tepic,63193
18017,Tepic,63195
18017,Tepic,63197
18017,Tepic,63199
18017,Tepic,63501
18017,Tepic,63503
18017,Tepic,63505
18017,Tepic,63507
18017,Tepic,63509
18017,Tepic,63511
18017,Tepic,63513
18017,Tepic,63515
18017,Tepic,63517
18017,Tepic,63519
18017,Tepic,63522
18017,Tepic,63524
18017,Tepic,63527
18017,Tepic,63529
18008,Xalisco,63782
18008,Xalisco,63784
18008,Xalisco,63786
18008,Xalisco,63790
18008,Xalisco,63792
18008,Xalisco,63794
18008,Xalisco,63796
18008,Xalisco,63798
18008,Xalisco,63780
18008,Xalisco,63783
18008,Xalisco,63785
18008,Xalisco,63787
18008,Xalisco,63791
18008,Xalisco,63793
18008,Xalisco,63795
18008,Xalisco,63797
18008,Xalisco,63799
18001,Acaponeta,63403
18001,Acaponeta,63405
18001,Acaponeta,63407
18001,Acaponeta,63409
18001,Acaponeta,63412
18001,Acaponeta,63414
18001,Acaponeta,63416
18001,Acaponeta,63421
18001,Acaponeta,63424
18001,Acaponeta,63426
18001,Acaponeta,63429
18001,Acaponeta,63433
18001,Acaponeta,63435
18001,Acaponeta,63437
18001,Acaponeta,63400
18001,Acaponeta,63404
18001,Acaponeta,63406
18001,Acaponeta,63408
18001,Acaponeta,63410
18001,Acaponeta,63413
18001,Acaponeta,63415
18001,Acaponeta,63420
18001,Acaponeta,63423
18001,Acaponeta,63425
18001,Acaponeta,63427
18001,Acaponeta,63430
18001,Acaponeta,63434
18001,Acaponeta,63436
18001,Acaponeta,63438
18003,Amatlán de Cañas,63963
18003,Amatlán de Cañas,63968
18003,Amatlán de Cañas,63970
18003,Amatlán de Cañas,63974
18003,Amatlán de Cañas,63980
18003,Amatlán de Cañas,63990
18003,Amatlán de Cañas,63960
18003,Amatlán de Cañas,63967
18003,Amatlán de Cañas,63969
18003,Amatlán de Cañas,63973
18003,Amatlán de Cañas,63975
18003,Amatlán de Cañas,63985
18003,Amatlán de Cañas,63996
18004,Compostela,63702
18004,Compostela,63704
18004,Compostela,63706
18004,Compostela,63708
18004,Compostela,63710
18004,Compostela,63713
18004,Compostela,63715
18004,Compostela,63718
18004,Compostela,63720
18004,Compostela,63723
18004,Compostela,63700
18004,Compostela,63703
18004,Compostela,63705
18004,Compostela,63707
18004,Compostela,63709
18004,Compostela,63712
18004,Compostela,63714
18004,Compostela,63717
18004,Compostela,63719
18004,Compostela,63722
18004,Compostela,63724
18005,Huajicori,63484
18005,Huajicori,63486
18005,Huajicori,63489
18005,Huajicori,63495
18005,Huajicori,63497
18005,Huajicori,63480
18005,Huajicori,63485
18005,Huajicori,63487
18005,Huajicori,63494
18005,Huajicori,63496
18005,Huajicori,63499
18007,Jala,63883
18007,Jala,63886
18007,Jala,63889
18007,Jala,63893
18007,Jala,63895
18007,Jala,63899
18007,Jala,63880
18007,Jala,63885
18007,Jala,63887
18007,Jala,63890
18007,Jala,63894
18007,Jala,63897
18010,Rosamorada,63633
18010,Rosamorada,63635
18010,Rosamorada,63637
18010,Rosamorada,63640
18010,Rosamorada,63644
18010,Rosamorada,63646
18010,Rosamorada,63650
18010,Rosamorada,63655
18010,Rosamorada,63657
18010,Rosamorada,63630
18010,Rosamorada,63634
18010,Rosamorada,63636
18010,Rosamorada,63638
18010,Rosamorada,63643
18010,Rosamorada,63645
18010,Rosamorada,63648
18010,Rosamorada,63652
18010,Rosamorada,63656
18010,Rosamorada,63658
18012,San Blas,63742
18012,San Blas,63744
18012,San Blas,63750
18012,San Blas,63752
18012,San Blas,63754
18012,San Blas,63756
18012,San Blas,63758
18012,San Blas,63762
18012,San Blas,63764
18012,San Blas,63766
18012,San Blas,63771
18012,San Blas,63773
18012,San Blas,63775
18012,San Blas,63777
18012,San Blas,63740
18012,San Blas,63743
18012,San Blas,63745
18012,San Blas,63751
18012,San Blas,63753
18012,San Blas,63755
18012,San Blas,63757
18012,San Blas,63760
18012,San Blas,63763
18012,San Blas,63765
18012,San Blas,63770
18012,San Blas,63772
18012,San Blas,63774
18012,San Blas,63776
18012,San Blas,63779
18014,Santa María del Oro,63833
18014,Santa María del Oro,63835
18014,Santa María del Oro,63837
18014,Santa María del Oro,63843
18014,Santa María del Oro,63845
18014,Santa María del Oro,63853
18014,Santa María del Oro,63856
18014,Santa María del Oro,63865
18014,Santa María del Oro,63867
18014,Santa María del Oro,63874
18014,Santa María del Oro,63830
18014,Santa María del Oro,63834
18014,Santa María del Oro,63836
18014,Santa María del Oro,63840
18014,Santa María del Oro,63844
18014,Santa María del Oro,63850
18014,Santa María del Oro,63854
18014,Santa María del Oro,63857
18014,Santa María del Oro,63866
18014,Santa María del Oro,63870
18016,Tecuala,63443
18016,Tecuala,63445
18016,Tecuala,63447
18016,Tecuala,63450
18016,Tecuala,63454
18016,Tecuala,63456
18016,Tecuala,63458
18016,Tecuala,63460
18016,Tecuala,63464
18016,Tecuala,63470
18016,Tecuala,63440
18016,Tecuala,63444
18016,Tecuala,63446
18016,Tecuala,63449
18016,Tecuala,63453
18016,Tecuala,63455
18016,Tecuala,63457
18016,Tecuala,63459
18016,Tecuala,63463
18016,Tecuala,63466
18018,Tuxpan,63202
18018,Tuxpan,63205
18018,Tuxpan,63225
18018,Tuxpan,63660
18018,Tuxpan,63200
18018,Tuxpan,63203
18018,Tuxpan,63207
18018,Tuxpan,63227
18018,Tuxpan,63670
