CVEGEO,Nombre,CP
19002,Agualeguas,65803
19002,Agualeguas,65805
19002,Agualeguas,65807
19002,Agualeguas,65810
19002,Agualeguas,65814
19002,Agualeguas,65819
19002,Agualeguas,65826
19002,Agualeguas,65833
19002,Agualeguas,65835
19002,Agualeguas,65837
19002,Agualeguas,65800
19002,Agualeguas,65804
19002,Agualeguas,65806
19002,Agualeguas,65808
19002,Agualeguas,65813
19002,Agualeguas,65815
19002,Agualeguas,65823
19002,Agualeguas,65830
19002,Agualeguas,65834
19002,Agualeguas,65836
19005,Anáhuac,65001
19005,Anáhuac,65004
19005,Anáhuac,65010
19005,Anáhuac,65032
19005,Anáhuac,65034
19005,Anáhuac,65040
19005,Anáhuac,65057
19005,Anáhuac,65000
19005,Anáhuac,65002
19005,Anáhuac,65008
19005,Anáhuac,65030
19005,Anáhuac,65033
19005,Anáhuac,65036
19005,Anáhuac,65042
19005,Anáhuac,65059
19007,Aramberri,67943
19007,Aramberri,67945
19007,Aramberri,67947
19007,Aramberri,67950
19007,Aramberri,67954
19007,Aramberri,67956
19007,Aramberri,67958
19007,Aramberri,67940
19007,Aramberri,67944
19007,Aramberri,67946
19007,Aramberri,67948
19007,Aramberri,67953
19007,Aramberri,67955
19007,Aramberri,67957
19007,Aramberri,67959
19009,Cadereyta Jiménez,67453
19009,Cadereyta Jiménez,67456
19009,Cadereyta Jiménez,67459
19009,Cadereyta Jiménez,67462
19009,Cadereyta Jiménez,67464
19009,Cadereyta Jiménez,67467
19009,Cadereyta Jiménez,67470
19009,Cadereyta Jiménez,67474
19009,Cadereyta Jiménez,67480
19009,Cadereyta Jiménez,67484
19009,Cadereyta Jiménez,67486
19009,Cadereyta Jiménez,67490
19009,Cadereyta Jiménez,67493
19009,Cadereyta Jiménez,67497
19009,Cadereyta Jiménez,67451
19009,Cadereyta Jiménez,67454
19009,Cadereyta Jiménez,67457
19009,Cadereyta Jiménez,67460
19009,Cadereyta Jiménez,67463
19009,Cadereyta Jiménez,67465
19009,Cadereyta Jiménez,67469
19009,Cadereyta Jiménez,67473
19009,Cadereyta Jiménez,67475
19009,Cadereyta Jiménez,67483
19009,Cadereyta Jiménez,67485
19009,Cadereyta Jiménez,67488
19009,Cadereyta Jiménez,67492
19009,Cadereyta Jiménez,67496
19009,Cadereyta Jiménez,67498
19013,China,67052
19013,China,67055
19013,China,67066
19013,China,67093
19013,China,67099
19013,China,67050
19013,China,67053
19013,China,67060
19013,China,67087
19013,China,67097
,Doctor Arroyo,67902
,Doctor Arroyo,67905
,Doctor Arroyo,67907
,Doctor Arroyo,67912
,Doctor Arroyo,67914
,Doctor Arroyo,67916
,Doctor Arroyo,67920
,Doctor Arroyo,67923
,Doctor Arroyo,67925
,Doctor Arroyo,67928
,Doctor Arroyo,67931
,Doctor Arroyo,67933
,Doctor Arroyo,67935
,Doctor Arroyo,67937
,Doctor Arroyo,67900
,Doctor Arroyo,67904
,Doctor Arroyo,67906
,Doctor Arroyo,67908
,Doctor Arroyo,67913
,Doctor Arroyo,67915
,Doctor Arroyo,67917
,Doctor Arroyo,67921
,Doctor Arroyo,67924
,Doctor Arroyo,67926
,Doctor Arroyo,67930
,Doctor Arroyo,67932
,Doctor Arroyo,67934
,Doctor Arroyo,67936
,Doctor Arroyo,67938
,Doctor González,66770
,Doctor González,66793
,Doctor González,66750
,Doctor González,66790
19017,Galeana,67853
19017,Galeana,67855
19017,Galeana,67857
19017,Galeana,67860
19017,Galeana,67864
19017,Galeana,67866
19017,Galeana,67868
19017,Galeana,67872
19017,Galeana,67874
19017,Galeana,67876
19017,Galeana,67878
19017,Galeana,67850
19017,Galeana,67854
19017,Galeana,67856
19017,Galeana,67858
19017,Galeana,67863
19017,Galeana,67865
19017,Galeana,67867
19017,Galeana,67870
19017,Galeana,67873
19017,Galeana,67875
19017,Galeana,67877
,General Bravo,67002
,General Bravo,67004
,General Bravo,67012
,General Bravo,67000
,General Bravo,67003
,General Bravo,67010
,General Bravo,67030
,General Terán,67403
,General Terán,67406
,General Terán,67414
,General Terán,67416
,General Terán,67423
,General Terán,67440
,General Terán,67400
,General Terán,67405
,General Terán,67413
,General Terán,67415
,General Terán,67417
,General Terán,67430
,General Terán,67448
,General Zaragoza,67965
,General Zaragoza,67972
,General Zaragoza,67974
,General Zaragoza,67976
,General Zaragoza,67978
,General Zaragoza,67960
,General Zaragoza,67966
,General Zaragoza,67973
,General Zaragoza,67975
,General Zaragoza,67977
19026,Guadalupe,67102
19026,Guadalupe,67112
19026,Guadalupe,67115
19026,Guadalupe,67117
19026,Guadalupe,67119
19026,Guadalupe,67123
19026,Guadalupe,67125
19026,Guadalupe,67128
19026,Guadalupe,67130
19026,Guadalupe,67133
19026,Guadalupe,67140
19026,Guadalupe,67150
19026,Guadalupe,67154
19026,Guadalupe,67160
19026,Guadalupe,67164
19026,Guadalupe,67166
19026,Guadalupe,67168
19026,Guadalupe,67170
19026,Guadalupe,67174
19026,Guadalupe,67176
19026,Guadalupe,67178
19026,Guadalupe,67180
19026,Guadalupe,67183
19026,Guadalupe,67185
19026,Guadalupe,67188
19026,Guadalupe,67190
19026,Guadalupe,67193
19026,Guadalupe,67195
19026,Guadalupe,67197
19026,Guadalupe,67199
19026,Guadalupe,67202
19026,Guadalupe,67204
19026,Guadalupe,67100
19026,Guadalupe,67110
19026,Guadalupe,67113
19026,Guadalupe,67116
19026,Guadalupe,67118
19026,Guadalupe,67120
19026,Guadalupe,67124
19026,Guadalupe,67126
19026,Guadalupe,67129
19026,Guadalupe,67132
19026,Guadalupe,67134
19026,Guadalupe,67144
19026,Guadalupe,67153
19026,Guadalupe,67155
19026,Guadalupe,67163
19026,Guadalupe,67165
19026,Guadalupe,67167
19026,Guadalupe,67169
19026,Guadalupe,67173
19026,Guadalupe,67175
19026,Guadalupe,67177
19026,Guadalupe,67179
19026,Guadalupe,67182
19026,Guadalupe,67184
19026,Guadalupe,67186
19026,Guadalupe,67189
19026,Guadalupe,67192
19026,Guadalupe,67194
19026,Guadalupe,67196
19026,Guadalupe,67198
19026,Guadalupe,67200
19026,Guadalupe,67203
19026,Guadalupe,67205
19028,Higueras,65700
19030,Iturbide,67842
19030,Iturbide,67845
19030,Iturbide,67847
19030,Iturbide,67830
19030,Iturbide,67844
19030,Iturbide,67846
19030,Iturbide,67849
19032,Lampazos de Naranjo,65075
19032,Lampazos de Naranjo,65080
19032,Lampazos de Naranjo,65090
19032,Lampazos de Naranjo,65070
19032,Lampazos de Naranjo,65076
19032,Lampazos de Naranjo,65088
19032,Lampazos de Naranjo,65092
19003,Los Aldamas,66910
19003,Los Aldamas,66940
19003,Los Aldamas,66900
19003,Los Aldamas,66930
19003,Los Aldamas,66945
19042,Los Ramones,66810
19042,Los Ramones,66820
19042,Los Ramones,66825
19042,Los Ramones,66827
19042,Los Ramones,66835
19042,Los Ramones,66842
19042,Los Ramones,66848
19042,Los Ramones,66800
19042,Los Ramones,66812
19042,Los Ramones,66824
19042,Los Ramones,66826
19042,Los Ramones,66830
19042,Los Ramones,66840
19042,Los Ramones,66847
19042,Los Ramones,66849
19035,Melchor Ocampo,65950
19037,Mina,65105
19037,Mina,65118
19037,Mina,65140
19037,Mina,65100
19037,Mina,65110
19037,Mina,65120
19039,Monterrey,64004
19039,Monterrey,64007
19039,Monterrey,64010
19039,Monterrey,64019
19039,Monterrey,64030
19039,Monterrey,64049
19039,Monterrey,64060
19039,Monterrey,64100
19039,Monterrey,64103
19039,Monterrey,64105
19039,Monterrey,64107
19039,Monterrey,64109
19039,Monterrey,64116
19039,Monterrey,64118
19039,Monterrey,64120
19039,Monterrey,64140
19039,Monterrey,64148
19039,Monterrey,64157
19039,Monterrey,64159
19039,Monterrey,64165
19039,Monterrey,64167
19039,Monterrey,64170
19039,Monterrey,64180
19039,Monterrey,64190
19039,Monterrey,64204
19039,Monterrey,64206
19039,Monterrey,64209
19039,Monterrey,64215
19039,Monterrey,64218
19039,Monterrey,64220
19039,Monterrey,64226
19039,Monterrey,64228
19039,Monterrey,64230
19039,Monterrey,64234
19039,Monterrey,64236
19039,Monterrey,64238
19039,Monterrey,64244
19039,Monterrey,64246
19039,Monterrey,64248
19039,Monterrey,64250
19039,Monterrey,64259
19039,Monterrey,64264
19039,Monterrey,64266
19039,Monterrey,64269
19039,Monterrey,64280
19039,Monterrey,64299
19039,Monterrey,64310
19039,Monterrey,64330
19039,Monterrey,64340
19039,Monterrey,64345
19039,Monterrey,64347
19039,Monterrey,64349
19039,Monterrey,64360
19039,Monterrey,64366
19039,Monterrey,64368
19039,Monterrey,64370
19039,Monterrey,64390
19039,Monterrey,64410
19039,Monterrey,64429
19039,Monterrey,64440
19039,Monterrey,64450
19039,Monterrey,64470
19039,Monterrey,64488
19039,Monterrey,64490
19039,Monterrey,64508
19039,Monterrey,64517
19039,Monterrey,64530
19039,Monterrey,64540
19039,Monterrey,64560
19039,Monterrey,64570
19039,Monterrey,64580
19039,Monterrey,64600
19039,Monterrey,64618
19039,Monterrey,64620
19039,Monterrey,64630
19039,Monterrey,64633
19039,Monterrey,64635
19039,Monterrey,64637
19039,Monterrey,64639
19039,Monterrey,64649
19039,Monterrey,64659
19039,Monterrey,64700
19039,Monterrey,64715
19039,Monterrey,64720
19039,Monterrey,64730
19039,Monterrey,64750
19039,Monterrey,64754
19039,Monterrey,64764
19039,Monterrey,64769
19039,Monterrey,64780
19039,Monterrey,64788
19039,Monterrey,64798
19039,Monterrey,64810
19039,Monterrey,64830
19039,Monterrey,64834
19039,Monterrey,64840
19039,Monterrey,64845
19039,Monterrey,64849
19039,Monterrey,64858
19039,Monterrey,64860
19039,Monterrey,64878
19039,Monterrey,64890
19039,Monterrey,64897
19039,Monterrey,64899
19039,Monterrey,64909
19039,Monterrey,64920
19039,Monterrey,64926
19039,Monterrey,64940
19039,Monterrey,64950
19039,Monterrey,64968
19039,Monterrey,64970
19039,Monterrey,64979
19039,Monterrey,64983
19039,Monterrey,64985
19039,Monterrey,64987
19039,Monterrey,64989
19039,Monterrey,64996
19039,Monterrey,64000
19039,Monterrey,64006
19039,Monterrey,64009
19039,Monterrey,64018
19039,Monterrey,64020
19039,Monterrey,64040
19039,Monterrey,64050
19039,Monterrey,64070
19039,Monterrey,64102
19039,Monterrey,64104
19039,Monterrey,64106
19039,Monterrey,64108
19039,Monterrey,64110
19039,Monterrey,64117
19039,Monterrey,64119
19039,Monterrey,64130
19039,Monterrey,64145
19039,Monterrey,64150
19039,Monterrey,64158
19039,Monterrey,64160
19039,Monterrey,64166
19039,Monterrey,64168
19039,Monterrey,64178
19039,Monterrey,64186
19039,Monterrey,64200
19039,Monterrey,64205
19039,Monterrey,64208
19039,Monterrey,64210
19039,Monterrey,64217
19039,Monterrey,64219
19039,Monterrey,64225
19039,Monterrey,64227
19039,Monterrey,64229
19039,Monterrey,64233
19039,Monterrey,64235
19039,Monterrey,64237
19039,Monterrey,64240
19039,Monterrey,64245
19039,Monterrey,64247
19039,Monterrey,64249
19039,Monterrey,64258
19039,Monterrey,64260
19039,Monterrey,64265
19039,Monterrey,64268
19039,Monterrey,64270
19039,Monterrey,64290
19039,Monterrey,64300
19039,Monterrey,64320
19039,Monterrey,64339
19039,Monterrey,64344
19039,Monterrey,64346
19039,Monterrey,64348
19039,Monterrey,64350
19039,Monterrey,64365
19039,Monterrey,64367
19039,Monterrey,64369
19039,Monterrey,64380
19039,Monterrey,64400
19039,Monterrey,64420
19039,Monterrey,64430
19039,Monterrey,64442
19039,Monterrey,64460
19039,Monterrey,64480
19039,Monterrey,64489
19039,Monterrey,64500
19039,Monterrey,64510
19039,Monterrey,64520
19039,Monterrey,64536
19039,Monterrey,64550
19039,Monterrey,64568
19039,Monterrey,64571
19039,Monterrey,64590
19039,Monterrey,64610
19039,Monterrey,64619
19039,Monterrey,64623
19039,Monterrey,64632
19039,Monterrey,64634
19039,Monterrey,64636
19039,Monterrey,64638
19039,Monterrey,64640
