CVEGEO,Nombre,CP
20002,Acatlán de Pérez Figueroa,68422
20002,Acatlán de Pérez Figueroa,68425
20002,Acatlán de Pérez Figueroa,68427
20002,Acatlán de Pérez Figueroa,68420
20002,Acatlán de Pérez Figueroa,68424
20002,Acatlán de Pérez Figueroa,68426
20002,Acatlán de Pérez Figueroa,68428
20003,Asunción Cacalotepec,70292
20003,Asunción Cacalotepec,70290
20005,Asunción Ixtaltepec,70141
20005,Asunción Ixtaltepec,70143
20005,Asunción Ixtaltepec,70145
20005,Asunción Ixtaltepec,70140
20005,Asunción Ixtaltepec,70142
20005,Asunción Ixtaltepec,70144
20007,Asunción Ocotlán,71523
20398,Ayoquezco de Aldama,71357
20398,Ayoquezco de Aldama,71355
20398,Ayoquezco de Aldama,71359
20011,Calihualá,69457
20011,Calihualá,69450
20247,Capulálpam de Méndez,68760
20026,Chalcatongo de Hidalgo,71103
20026,Chalcatongo de Hidalgo,71105
20026,Chalcatongo de Hidalgo,71107
20026,Chalcatongo de Hidalgo,71100
20026,Chalcatongo de Hidalgo,71104
20026,Chalcatongo de Hidalgo,71106
20013,Ciénega de Zimatlán,71300
20015,Coatecas Altas,71573
20015,Coatecas Altas,71570
20015,Coatecas Altas,71574
20018,Concepción Buenavista,69321
20018,Concepción Buenavista,69325
20018,Concepción Buenavista,69320
20018,Concepción Buenavista,69324
20020,Constancia del Rosario,71031
20020,Constancia del Rosario,71037
20020,Constancia del Rosario,71030
20020,Constancia del Rosario,71033
20022,Cosoltepec,69021
20022,Cosoltepec,69023
20022,Cosoltepec,69020
20022,Cosoltepec,69022
20024,Cuyamecalco Villa de Zaragoza,68611
20024,Cuyamecalco Villa de Zaragoza,68610
20024,Cuyamecalco Villa de Zaragoza,68612
20030,El Espinal,70117
20032,Fresnillo de Trujano,69211
20032,Fresnillo de Trujano,69210
20032,Fresnillo de Trujano,69214
20033,Guadalupe Etla,68257
20033,Guadalupe Etla,68256
20036,Guevea de Humboldt,70726
20036,Guevea de Humboldt,70725
20036,Guevea de Humboldt,70728
20039,Heroica Ciudad de Huajuapan de León,69003
20039,Heroica Ciudad de Huajuapan de León,69005
20039,Heroica Ciudad de Huajuapan de León,69007
20039,Heroica Ciudad de Huajuapan de León,69009
20039,Heroica Ciudad de Huajuapan de León,69000
20039,Heroica Ciudad de Huajuapan de León,69004
20039,Heroica Ciudad de Huajuapan de León,69006
20039,Heroica Ciudad de Huajuapan de León,69008
20397,Heroica Ciudad de Tlaxiaco,69802
20397,Heroica Ciudad de Tlaxiaco,69804
20397,Heroica Ciudad de Tlaxiaco,69806
20397,Heroica Ciudad de Tlaxiaco,69800
20397,Heroica Ciudad de Tlaxiaco,69803
20397,Heroica Ciudad de Tlaxiaco,69805
20041,Huautla de Jiménez,68501
20041,Huautla de Jiménez,68503
20041,Huautla de Jiménez,68505
20041,Huautla de Jiménez,68508
20041,Huautla de Jiménez,68500
20041,Huautla de Jiménez,68502
20041,Huautla de Jiménez,68504
20041,Huautla de Jiménez,68506
20042,Ixtlán de Juárez,68726
20042,Ixtlán de Juárez,68728
20042,Ixtlán de Juárez,68725
20042,Ixtlán de Juárez,68727
20069,La Pe,71566
20069,La Pe,71565
20556,La Trinidad Vista Hermosa,69508
