CVEGEO,Nombre,CP
21002,Acateno,73591
21002,Acateno,73593
21002,Acateno,73595
21002,Acateno,73597
21002,Acateno,73590
21002,Acateno,73592
21002,Acateno,73594
21002,Acateno,73596
21002,Acateno,73598
21004,Acatzingo,75151
21004,Acatzingo,75154
21004,Acatzingo,75156
21004,Acatzingo,75158
21004,Acatzingo,75150
21004,Acatzingo,75153
21004,Acatzingo,75155
21004,Acatzingo,75157
21004,Acatzingo,75159
21006,Ahuacatlán,73337
21006,Ahuacatlán,73330
21006,Ahuacatlán,73338
21008,Ahuazotepec,73181
21008,Ahuazotepec,73190
21008,Ahuazotepec,73193
21008,Ahuazotepec,73180
21008,Ahuazotepec,73185
21008,Ahuazotepec,73191
21008,Ahuazotepec,73195
21010,Ajalpan,75914
21010,Ajalpan,75916
21010,Ajalpan,75910
21010,Ajalpan,75915
21010,Ajalpan,75917
21012,Aljojuca,75186
21012,Aljojuca,75180
21012,Aljojuca,75187
21014,Amixtlán,73364
21014,Amixtlán,73360
21016,Aquixtla,73621
21016,Aquixtla,73630
21016,Aquixtla,73633
21016,Aquixtla,73637
21016,Aquixtla,73620
21016,Aquixtla,73625
21016,Aquixtla,73631
21016,Aquixtla,73635
21016,Aquixtla,73638
21018,Atexcal,75841
21018,Atexcal,75844
21018,Atexcal,75847
21018,Atexcal,75849
21018,Atexcal,75840
21018,Atexcal,75843
21018,Atexcal,75845
21018,Atexcal,75848
21019,Atlixco,74210
21019,Atlixco,74218
21019,Atlixco,74227
21019,Atlixco,74239
21019,Atlixco,74250
21019,Atlixco,74270
21019,Atlixco,74290
21019,Atlixco,74294
21019,Atlixco,74296
21019,Atlixco,74363
21019,Atlixco,74367
21019,Atlixco,74369
21019,Atlixco,74200
21019,Atlixco,74215
21019,Atlixco,74220
21019,Atlixco,74230
21019,Atlixco,74240
21019,Atlixco,74260
21019,Atlixco,74280
21019,Atlixco,74293
21019,Atlixco,74295
21019,Atlixco,74360
21019,Atlixco,74365
21019,Atlixco,74368
21021,Atzala,74590
21023,Atzitzintla,75541
21023,Atzitzintla,75550
21023,Atzitzintla,75558
21023,Atzitzintla,75540
21023,Atzitzintla,75547
21023,Atzitzintla,75551
21025,Ayotoxco de Guerrero,73572
21025,Ayotoxco de Guerrero,73579
21025,Ayotoxco de Guerrero,73570
21025,Ayotoxco de Guerrero,73573
21027,Caltepec,75894
21027,Caltepec,75896
21027,Caltepec,75890
21027,Caltepec,75895
21027,Caltepec,75897
21099,Cañada Morelos,75584
21099,Cañada Morelos,75587
21099,Cañada Morelos,75589
21099,Cañada Morelos,75591
21099,Cañada Morelos,75593
21099,Cañada Morelos,75580
21099,Cañada Morelos,75585
21099,Cañada Morelos,75588
21099,Cañada Morelos,75590
21099,Cañada Morelos,75592
21099,Cañada Morelos,75597
21045,Chalchicomula de Sesma,75524
21045,Chalchicomula de Sesma,75526
21045,Chalchicomula de Sesma,75528
21045,Chalchicomula de Sesma,75530
21045,Chalchicomula de Sesma,75536
21045,Chalchicomula de Sesma,75538
21045,Chalchicomula de Sesma,75520
21045,Chalchicomula de Sesma,75525
21045,Chalchicomula de Sesma,75527
21045,Chalchicomula de Sesma,75529
21045,Chalchicomula de Sesma,75535
21045,Chalchicomula de Sesma,75537
21045,Chalchicomula de Sesma,75539
21047,Chiautla,74732
21047,Chiautla,74734
21047,Chiautla,74736
21047,Chiautla,74730
21047,Chiautla,74733
21047,Chiautla,74735
21047,Chiautla,74737
21050,Chichiquila,75092
21050,Chichiquila,75095
21050,Chichiquila,75097
21050,Chichiquila,75090
21050,Chichiquila,75093
21050,Chichiquila,75096
21050,Chichiquila,75098
