CVEGEO,Nombre,CP
22003,Arroyo Seco,76401
22003,Arroyo Seco,76404
22003,Arroyo Seco,76410
22003,Arroyo Seco,76413
22003,Arroyo Seco,76417
22003,Arroyo Seco,76421
22003,Arroyo Seco,76425
22003,Arroyo Seco,76427
22003,Arroyo Seco,76436
22003,Arroyo Seco,76400
22003,Arroyo Seco,76402
22003,Arroyo Seco,76405
22003,Arroyo Seco,76411
22003,Arroyo Seco,76414
22003,Arroyo Seco,76420
22003,Arroyo Seco,76424
22003,Arroyo Seco,76426
22003,Arroyo Seco,76434
22003,Arroyo Seco,76440
22005,Colón,76272
22005,Colón,76274
22005,Colón,76277
22005,Colón,76279
22005,Colón,76281
22005,Colón,76283
22005,Colón,76286
22005,Colón,76289
22005,Colón,76293
22005,Colón,76295
22005,Colón,76297
22005,Colón,76299
22005,Colón,76270
22005,Colón,76273
22005,Colón,76276
22005,Colón,76278
22005,Colón,76280
22005,Colón,76282
22005,Colón,76284
22005,Colón,76288
22005,Colón,76290
22005,Colón,76294
22005,Colón,76296
22005,Colón,76298
22011,El Marqués,76243
22011,El Marqués,76245
22011,El Marqués,76247
22011,El Marqués,76249
22011,El Marqués,76251
22011,El Marqués,76253
22011,El Marqués,76255
22011,El Marqués,76257
22011,El Marqués,76259
22011,El Marqués,76261
22011,El Marqués,76263
22011,El Marqués,76265
22011,El Marqués,76267
22011,El Marqués,76269
22011,El Marqués,76240
22011,El Marqués,76244
22011,El Marqués,76246
22011,El Marqués,76248
22011,El Marqués,76250
22011,El Marqués,76252
22011,El Marqués,76254
22011,El Marqués,76256
22011,El Marqués,76258
22011,El Marqués,76260
22011,El Marqués,76262
22011,El Marqués,76264
22011,El Marqués,76266
22011,El Marqués,76268
22008,Huimilpan,76951
22008,Huimilpan,76953
22008,Huimilpan,76956
22008,Huimilpan,76958
22008,Huimilpan,76964
22008,Huimilpan,76970
22008,Huimilpan,76974
22008,Huimilpan,76976
22008,Huimilpan,76981
22008,Huimilpan,76984
22008,Huimilpan,76990
22008,Huimilpan,76993
22008,Huimilpan,76995
22008,Huimilpan,76998
22008,Huimilpan,76950
22008,Huimilpan,76952
22008,Huimilpan,76955
22008,Huimilpan,76957
22008,Huimilpan,76963
22008,Huimilpan,76965
22008,Huimilpan,76973
22008,Huimilpan,76975
22008,Huimilpan,76980
22008,Huimilpan,76983
22008,Huimilpan,76985
22008,Huimilpan,76992
22008,Huimilpan,76994
22008,Huimilpan,76997
22010,Landa de Matamoros,76367
22010,Landa de Matamoros,76370
22010,Landa de Matamoros,76373
22010,Landa de Matamoros,76379
22010,Landa de Matamoros,76382
22010,Landa de Matamoros,76384
22010,Landa de Matamoros,76386
22010,Landa de Matamoros,76390
22010,Landa de Matamoros,76393
22010,Landa de Matamoros,76395
22010,Landa de Matamoros,76399
22010,Landa de Matamoros,76360
22010,Landa de Matamoros,76368
22010,Landa de Matamoros,76372
22010,Landa de Matamoros,76378
22010,Landa de Matamoros,76380
22010,Landa de Matamoros,76383
22010,Landa de Matamoros,76385
22010,Landa de Matamoros,76388
22010,Landa de Matamoros,76392
22010,Landa de Matamoros,76394
22010,Landa de Matamoros,76396
22013,Peñamiller,76453
22013,Peñamiller,76460
22013,Peñamiller,76464
