CVEGEO,Nombre,CP
23005,Benito Juárez,77503
23005,Benito Juárez,77505
23005,Benito Juárez,77507
23005,Benito Juárez,77509
23005,Benito Juárez,77513
23005,Benito Juárez,77515
23005,Benito Juárez,77517
23005,Benito Juárez,77519
23005,Benito Juárez,77524
23005,Benito Juárez,77526
23005,Benito Juárez,77528
23005,Benito Juárez,77530
23005,Benito Juárez,77534
23005,Benito Juárez,77536
23005,Benito Juárez,77538
23005,Benito Juárez,77540
23005,Benito Juárez,77566
23005,Benito Juárez,77569
23005,Benito Juárez,77500
23005,Benito Juárez,77504
23005,Benito Juárez,77506
23005,Benito Juárez,77508
23005,Benito Juárez,77510
23005,Benito Juárez,77514
23005,Benito Juárez,77516
23005,Benito Juárez,77518
23005,Benito Juárez,77520
23005,Benito Juárez,77525
23005,Benito Juárez,77527
23005,Benito Juárez,77529
23005,Benito Juárez,77533
23005,Benito Juárez,77535
23005,Benito Juárez,77537
23005,Benito Juárez,77539
23005,Benito Juárez,77560
23005,Benito Juárez,77567
23005,Benito Juárez,77580
23002,Felipe Carrillo Puerto,77104
23002,Felipe Carrillo Puerto,77106
23002,Felipe Carrillo Puerto,77108
23002,Felipe Carrillo Puerto,77114
23002,Felipe Carrillo Puerto,77116
23002,Felipe Carrillo Puerto,77118
23002,Felipe Carrillo Puerto,77121
23002,Felipe Carrillo Puerto,77125
23002,Felipe Carrillo Puerto,77135
23002,Felipe Carrillo Puerto,77144
23002,Felipe Carrillo Puerto,77146
23002,Felipe Carrillo Puerto,77148
23002,Felipe Carrillo Puerto,77156
23002,Felipe Carrillo Puerto,77160
23002,Felipe Carrillo Puerto,77169
23002,Felipe Carrillo Puerto,77174
23002,Felipe Carrillo Puerto,77176
23002,Felipe Carrillo Puerto,77178
23002,Felipe Carrillo Puerto,77185
23002,Felipe Carrillo Puerto,77189
23002,Felipe Carrillo Puerto,77192
23002,Felipe Carrillo Puerto,77197
23002,Felipe Carrillo Puerto,77200
23002,Felipe Carrillo Puerto,77214
23002,Felipe Carrillo Puerto,77216
23002,Felipe Carrillo Puerto,77220
23002,Felipe Carrillo Puerto,77230
23002,Felipe Carrillo Puerto,77239
23002,Felipe Carrillo Puerto,77249
23002,Felipe Carrillo Puerto,77259
23002,Felipe Carrillo Puerto,77100
23002,Felipe Carrillo Puerto,77105
23002,Felipe Carrillo Puerto,77107
23002,Felipe Carrillo Puerto,77110
