CVEGEO,Nombre,CP
25002,Angostura,81605
25002,Angostura,81610
25002,Angostura,81621
25002,Angostura,81623
25002,Angostura,81625
25002,Angostura,81632
25002,Angostura,81639
25002,Angostura,81642
25002,Angostura,81650
25002,Angostura,81653
25002,Angostura,81655
25002,Angostura,81661
25002,Angostura,81666
25002,Angostura,81675
25002,Angostura,81690
25002,Angostura,81600
25002,Angostura,81607
25002,Angostura,81620
25002,Angostura,81622
25002,Angostura,81624
25002,Angostura,81630
25002,Angostura,81635
25002,Angostura,81640
25002,Angostura,81649
25002,Angostura,81652
25002,Angostura,81654
25002,Angostura,81660
25002,Angostura,81664
25002,Angostura,81670
25002,Angostura,81680
25007,Choix,81703
25007,Choix,81706
25007,Choix,81708
25007,Choix,81710
25007,Choix,81713
25007,Choix,81716
25007,Choix,81718
25007,Choix,81720
25007,Choix,81725
25007,Choix,81730
25007,Choix,81734
25007,Choix,81736
25007,Choix,81738
25007,Choix,81743
25007,Choix,81746
25007,Choix,81750
25007,Choix,81754
25007,Choix,81756
25007,Choix,81760
25007,Choix,81764
25007,Choix,81766
25007,Choix,81773
25007,Choix,81775
25007,Choix,81777
25007,Choix,81783
25007,Choix,81700
25007,Choix,81705
25007,Choix,81707
25007,Choix,81709
25007,Choix,81712
25007,Choix,81715
25007,Choix,81717
25007,Choix,81719
25007,Choix,81724
25007,Choix,81727
25007,Choix,81733
25007,Choix,81735
25007,Choix,81737
25007,Choix,81740
25007,Choix,81745
25007,Choix,81749
25007,Choix,81753
25007,Choix,81755
25007,Choix,81757
25007,Choix,81763
25007,Choix,81765
25007,Choix,81770
25007,Choix,81774
25007,Choix,81776
25007,Choix,81780
25007,Choix,81784
25005,Cosalá,80702
25005,Cosalá,80705
25005,Cosalá,80707
25005,Cosalá,80720
25005,Cosalá,80726
25005,Cosalá,80737
25005,Cosalá,80739
25005,Cosalá,80750
25005,Cosalá,80758
25005,Cosalá,80768
25005,Cosalá,80773
25005,Cosalá,80778
25005,Cosalá,80784
