CVEGEO,Nombre,CP
24002,Alaquines,79363
24002,Alaquines,79365
24002,Alaquines,79370
24002,Alaquines,79374
24002,Alaquines,79376
24002,Alaquines,79360
24002,Alaquines,79364
24002,Alaquines,79366
24002,Alaquines,79373
24002,Alaquines,79375
24002,Alaquines,79377
24004,Armadillo de los Infante,78983
24004,Armadillo de los Infante,78985
24004,Armadillo de los Infante,78987
24004,Armadillo de los Infante,78993
24004,Armadillo de los Infante,78995
24004,Armadillo de los Infante,78997
24004,Armadillo de los Infante,78980
24004,Armadillo de los Infante,78984
24004,Armadillo de los Infante,78986
24004,Armadillo de los Infante,78990
24004,Armadillo de los Infante,78994
24004,Armadillo de los Infante,78996
24005,Cárdenas,79382
24005,Cárdenas,79384
24005,Cárdenas,79386
24005,Cárdenas,79390
24005,Cárdenas,79394
24005,Cárdenas,79396
24005,Cárdenas,79380
24005,Cárdenas,79383
24005,Cárdenas,79385
24005,Cárdenas,79387
24005,Cárdenas,79393
24005,Cárdenas,79395
24005,Cárdenas,79397
24007,Cedral,78523
24007,Cedral,78525
24007,Cedral,78527
24007,Cedral,78533
24007,Cedral,78535
24007,Cedral,78537
24007,Cedral,78520
24007,Cedral,78524
24007,Cedral,78526
24007,Cedral,78530
24007,Cedral,78534
24007,Cedral,78536
24009,Cerro de San Pedro,78443
24009,Cerro de San Pedro,78445
24009,Cerro de San Pedro,78447
24009,Cerro de San Pedro,78440
24009,Cerro de San Pedro,78444
24009,Cerro de San Pedro,78446
24009,Cerro de San Pedro,78448
24010,Ciudad del Maíz,79323
24010,Ciudad del Maíz,79325
24010,Ciudad del Maíz,79327
24010,Ciudad del Maíz,79333
24010,Ciudad del Maíz,79335
24010,Ciudad del Maíz,79337
24010,Ciudad del Maíz,79343
24010,Ciudad del Maíz,79345
24010,Ciudad del Maíz,79347
24010,Ciudad del Maíz,79353
24010,Ciudad del Maíz,79355
24010,Ciudad del Maíz,79357
24010,Ciudad del Maíz,79320
24010,Ciudad del Maíz,79324
24010,Ciudad del Maíz,79326
24010,Ciudad del Maíz,79330
24010,Ciudad del Maíz,79334
24010,Ciudad del Maíz,79336
24010,Ciudad del Maíz,79340
24010,Ciudad del Maíz,79344
24010,Ciudad del Maíz,79346
24010,Ciudad del Maíz,79350
24010,Ciudad del Maíz,79354
24010,Ciudad del Maíz,79356
24013,Ciudad Valles,79010
24013,Ciudad Valles,79020
24013,Ciudad Valles,79025
24013,Ciudad Valles,79028
24013,Ciudad Valles,79033
24013,Ciudad Valles,79035
24013,Ciudad Valles,79040
24013,Ciudad Valles,79050
24013,Ciudad Valles,79059
24013,Ciudad Valles,79063
24013,Ciudad Valles,79068
24013,Ciudad Valles,79080
24013,Ciudad Valles,79083
24013,Ciudad Valles,79085
24013,Ciudad Valles,79090
24013,Ciudad Valles,79093
24013,Ciudad Valles,79095
24013,Ciudad Valles,79098
24013,Ciudad Valles,79233
24013,Ciudad Valles,79235
24013,Ciudad Valles,79237
24013,Ciudad Valles,79243
24013,Ciudad Valles,79245
24013,Ciudad Valles,79247
24013,Ciudad Valles,79252
24013,Ciudad Valles,79254
24013,Ciudad Valles,79256
24013,Ciudad Valles,79260
24013,Ciudad Valles,79264
24013,Ciudad Valles,79266
24013,Ciudad Valles,79270
24013,Ciudad Valles,79274
24013,Ciudad Valles,79276
24013,Ciudad Valles,79280
24013,Ciudad Valles,79284
24013,Ciudad Valles,79286
