CVEGEO,Nombre,CP
26002,Agua Prieta,84210
26002,Agua Prieta,84220
26002,Agua Prieta,84240
26002,Agua Prieta,84259
26002,Agua Prieta,84267
26002,Agua Prieta,84270
26002,Agua Prieta,84300
26002,Agua Prieta,84304
26002,Agua Prieta,84306
26002,Agua Prieta,84310
26002,Agua Prieta,84314
26002,Agua Prieta,84316
26002,Agua Prieta,84200
26002,Agua Prieta,84213
26002,Agua Prieta,84230
26002,Agua Prieta,84250
26002,Agua Prieta,84260
26002,Agua Prieta,84269
26002,Agua Prieta,84279
26002,Agua Prieta,84303
26002,Agua Prieta,84305
26002,Agua Prieta,84307
26002,Agua Prieta,84313
26002,Agua Prieta,84315
26002,Agua Prieta,84317
26004,Altar,83753
26004,Altar,83755
26004,Altar,83757
26004,Altar,83767
26004,Altar,83780
26004,Altar,83785
26004,Altar,83790
26004,Altar,83794
26004,Altar,83796
26004,Altar,83750
26004,Altar,83754
26004,Altar,83756
26004,Altar,83760
26004,Altar,83770
26004,Altar,83784
26004,Altar,83786
26004,Altar,83793
26004,Altar,83795
26004,Altar,83797
26006,Arizpe,84650
26006,Arizpe,84654
26006,Arizpe,84656
26006,Arizpe,84640
26006,Arizpe,84653
26006,Arizpe,84655
26006,Arizpe,84657
26008,Bacadéhuachi,84483
26008,Bacadéhuachi,84485
26008,Bacadéhuachi,84490
26008,Bacadéhuachi,84494
26008,Bacadéhuachi,84496
26008,Bacadéhuachi,84480
26008,Bacadéhuachi,84484
26008,Bacadéhuachi,84486
26008,Bacadéhuachi,84493
26008,Bacadéhuachi,84495
26010,Bacerac,84390
26010,Bacerac,84394
26010,Bacerac,84396
26010,Bacerac,84380
26010,Bacerac,84393
26010,Bacerac,84395
26010,Bacerac,84397
26012,Bácum,85265
26012,Bácum,85273
26012,Bácum,85276
26012,Bácum,85278
26012,Bácum,85260
26012,Bácum,85270
26012,Bácum,85275
26012,Bácum,85277
26014,Baviácora,84943
26014,Baviácora,84945
26014,Baviácora,84953
26014,Baviácora,84955
26014,Baviácora,84940
26014,Baviácora,84944
26014,Baviácora,84950
26014,Baviácora,84954
26014,Baviácora,84957
26071,Benito Juárez,85293
26071,Benito Juárez,85295
26071,Benito Juárez,85297
26071,Benito Juárez,85290
26071,Benito Juárez,85294
26071,Benito Juárez,85296
26071,Benito Juárez,85298
26017,Caborca,83610
26017,Caborca,83621
26017,Caborca,83630
26017,Caborca,83635
26017,Caborca,83650
26017,Caborca,83663
26017,Caborca,83665
26017,Caborca,83670
26017,Caborca,83690
