CVEGEO,Nombre,CP
27002,Cárdenas,86461
27002,Cárdenas,86463
27002,Cárdenas,86466
27002,Cárdenas,86468
27002,Cárdenas,86471
27002,Cárdenas,86473
27002,Cárdenas,86475
27002,Cárdenas,86477
27002,Cárdenas,86479
27002,Cárdenas,86481
27002,Cárdenas,86483
27002,Cárdenas,86485
27002,Cárdenas,86487
27002,Cárdenas,86491
27002,Cárdenas,86494
27002,Cárdenas,86496
27002,Cárdenas,86498
27002,Cárdenas,86500
27002,Cárdenas,86510
27002,Cárdenas,86520
27002,Cárdenas,86529
27002,Cárdenas,86532
27002,Cárdenas,86534
27002,Cárdenas,86545
27002,Cárdenas,86550
27002,Cárdenas,86554
27002,Cárdenas,86570
27002,Cárdenas,86590
27002,Cárdenas,86598
27002,Cárdenas,86460
27002,Cárdenas,86462
27002,Cárdenas,86464
27002,Cárdenas,86467
27002,Cárdenas,86470
27002,Cárdenas,86472
27002,Cárdenas,86474
27002,Cárdenas,86476
27002,Cárdenas,86478
27002,Cárdenas,86480
27002,Cárdenas,86482
27002,Cárdenas,86484
27002,Cárdenas,86486
27002,Cárdenas,86490
27002,Cárdenas,86493
27002,Cárdenas,86495
27002,Cárdenas,86497
27002,Cárdenas,86499
27002,Cárdenas,86504
27002,Cárdenas,86513
27002,Cárdenas,86528
27002,Cárdenas,86530
27002,Cárdenas,86533
27002,Cárdenas,86540
27002,Cárdenas,86546
27002,Cárdenas,86553
27002,Cárdenas,86560
27002,Cárdenas,86573
27002,Cárdenas,86597
27002,Cárdenas,86599
27004,Centro,86006
27004,Centro,86008
27004,Centro,86010
27004,Centro,86016
27004,Centro,86018
27004,Centro,86020
27004,Centro,86026
27004,Centro,86029
27004,Centro,86034
27004,Centro,86037
27004,Centro,86039
27004,Centro,86049
27004,Centro,86058
27004,Centro,86060
27004,Centro,86068
27004,Centro,86070
27004,Centro,86077
27004,Centro,86080
27004,Centro,86087
27004,Centro,86090
27004,Centro,86095
27004,Centro,86097
27004,Centro,86099
27004,Centro,86103
27004,Centro,86107
27004,Centro,86109
27004,Centro,86125
27004,Centro,86127
27004,Centro,86129
27004,Centro,86137
27004,Centro,86140
27004,Centro,86144
27004,Centro,86150
27004,Centro,86160
27004,Centro,86168
27004,Centro,86170
27004,Centro,86180
27004,Centro,86190
27004,Centro,86193
27004,Centro,86195
27004,Centro,86253
27004,Centro,86255
27004,Centro,86257
27004,Centro,86271
27004,Centro,86273
27004,Centro,86275
27004,Centro,86277
27004,Centro,86280
27004,Centro,86283
27004,Centro,86285
27004,Centro,86288
27004,Centro,86290
27004,Centro,86292
27004,Centro,86294
27004,Centro,86296
27004,Centro,86298
27004,Centro,86000
27004,Centro,86007
27004,Centro,86009
27004,Centro,86015
27004,Centro,86017
27004,Centro,86019
27004,Centro,86025
27004,Centro,86027
27004,Centro,86030
27004,Centro,86035
27004,Centro,86038
27004,Centro,86040
27004,Centro,86050
27004,Centro,86059
27004,Centro,86067
27004,Centro,86069
27004,Centro,86073
27004,Centro,86079
27004,Centro,86086
27004,Centro,86088
27004,Centro,86094
27004,Centro,86096
27004,Centro,86098
27004,Centro,86100
27004,Centro,86105
27004,Centro,86108
27004,Centro,86120
27004,Centro,86126
27004,Centro,86128
27004,Centro,86130
27004,Centro,86139
27004,Centro,86143
27004,Centro,86149
27004,Centro,86153
27004,Centro,86167
27004,Centro,86169
27004,Centro,86179
27004,Centro,86189
27004,Centro,86191
27004,Centro,86194
27004,Centro,86250
27004,Centro,86254
27004,Centro,86256
27004,Centro,86270
27004,Centro,86272
27004,Centro,86274
27004,Centro,86276
27004,Centro,86278
27004,Centro,86281
27004,Centro,86284
27004,Centro,86287
27004,Centro,86289
27004,Centro,86291
27004,Centro,86293
27004,Centro,86295
27004,Centro,86297
27006,Cunduacán,86681
27006,Cunduacán,86683
27006,Cunduacán,86685
27006,Cunduacán,86687
27006,Cunduacán,86692
27006,Cunduacán,86694
27006,Cunduacán,86696
27006,Cunduacán,86698
27006,Cunduacán,86680
27006,Cunduacán,86682
27006,Cunduacán,86684
27006,Cunduacán,86686
27006,Cunduacán,86690
27006,Cunduacán,86693
27006,Cunduacán,86695
27006,Cunduacán,86697
27008,Huimanguillo,86402
27008,Huimanguillo,86404
27008,Huimanguillo,86407
27008,Huimanguillo,86410
27008,Huimanguillo,86412
27008,Huimanguillo,86414
27008,Huimanguillo,86416
27008,Huimanguillo,86418
27008,Huimanguillo,86421
27008,Huimanguillo,86423
27008,Huimanguillo,86425
27008,Huimanguillo,86427
27008,Huimanguillo,86430
27008,Huimanguillo,86433
27008,Huimanguillo,86436
27008,Huimanguillo,86438
27008,Huimanguillo,86442
27008,Huimanguillo,86444
27008,Huimanguillo,86446
27008,Huimanguillo,86449
27008,Huimanguillo,86453
27008,Huimanguillo,86456
27008,Huimanguillo,86400
27008,Huimanguillo,86403
27008,Huimanguillo,86406
27008,Huimanguillo,86409
27008,Huimanguillo,86411
27008,Huimanguillo,86413
27008,Huimanguillo,86415
27008,Huimanguillo,86417
27008,Huimanguillo,86420
27008,Huimanguillo,86422
27008,Huimanguillo,86424
27008,Huimanguillo,86426
27008,Huimanguillo,86428
27008,Huimanguillo,86432
27008,Huimanguillo,86434
27008,Huimanguillo,86437
27008,Huimanguillo,86440
27008,Huimanguillo,86443
27008,Huimanguillo,86445
27008,Huimanguillo,86447
27008,Huimanguillo,86450
27008,Huimanguillo,86454
27010,Jalpa de Méndez,86201
27010,Jalpa de Méndez,86204
27010,Jalpa de Méndez,86207
27010,Jalpa de Méndez,86209
27010,Jalpa de Méndez,86215
27010,Jalpa de Méndez,86200
27010,Jalpa de Méndez,86203
27010,Jalpa de Méndez,86205
27010,Jalpa de Méndez,86208
27010,Jalpa de Méndez,86214
27010,Jalpa de Méndez,86216
27012,Macuspana,86701
27012,Macuspana,86703
27012,Macuspana,86706
27012,Macuspana,86708
27012,Macuspana,86710
27012,Macuspana,86713
27012,Macuspana,86715
27012,Macuspana,86717
27012,Macuspana,86719
27012,Macuspana,86722
27012,Macuspana,86724
27012,Macuspana,86726
27012,Macuspana,86728
27012,Macuspana,86732
27012,Macuspana,86734
27012,Macuspana,86736
27012,Macuspana,86738
27012,Macuspana,86740
27012,Macuspana,86742
27012,Macuspana,86744
27012,Macuspana,86746
27012,Macuspana,86748
27012,Macuspana,86700
27012,Macuspana,86702
27012,Macuspana,86704
27012,Macuspana,86707
27012,Macuspana,86709
27012,Macuspana,86711
27012,Macuspana,86714
27012,Macuspana,86716
27012,Macuspana,86718
27012,Macuspana,86720
27012,Macuspana,86723
27012,Macuspana,86725
27012,Macuspana,86727
27012,Macuspana,86730
27012,Macuspana,86733
27012,Macuspana,86735
27012,Macuspana,86737
27012,Macuspana,86739
27012,Macuspana,86741
27012,Macuspana,86743
27012,Macuspana,86745
27012,Macuspana,86747
27014,Paraíso,86601
27014,Paraíso,86603
27014,Paraíso,86606
27014,Paraíso,86608
27014,Paraíso,86610
27014,Paraíso,86612
27014,Paraíso,86615
27014,Paraíso,86617
27014,Paraíso,86620
27014,Paraíso,86600
27014,Paraíso,86602
27014,Paraíso,86605
27014,Paraíso,86607
27014,Paraíso,86609
27014,Paraíso,86611
27014,Paraíso,86613
27014,Paraíso,86616
27014,Paraíso,86618
27014,Paraíso,86621
27016,Teapa,86801
27016,Teapa,86805
27016,Teapa,86807
27016,Teapa,86810
27016,Teapa,86813
27016,Teapa,86815
27016,Teapa,86821
27016,Teapa,86824
27016,Teapa,86827
27016,Teapa,86800
27016,Teapa,86802
27016,Teapa,86806
27016,Teapa,86808
27016,Teapa,86812
27016,Teapa,86814
27016,Teapa,86820
27016,Teapa,86823
27016,Teapa,86826
27001,Balancán,86933
27001,Balancán,86935
27001,Balancán,86937
27001,Balancán,86943
27001,Balancán,86945
27001,Balancán,86947
27001,Balancán,86950
27001,Balancán,86954
27001,Balancán,86956
27001,Balancán,86960
27001,Balancán,86964
27001,Balancán,86966
27001,Balancán,86970
27001,Balancán,86974
27001,Balancán,86976
27001,Balancán,86930
27001,Balancán,86934
27001,Balancán,86936
27001,Balancán,86940
27001,Balancán,86944
27001,Balancán,86946
27001,Balancán,86949
27001,Balancán,86953
27001,Balancán,86955
27001,Balancán,86957
27001,Balancán,86963
27001,Balancán,86965
27001,Balancán,86967
27001,Balancán,86973
27001,Balancán,86975
27001,Balancán,86977
27003,Centla,86752
27003,Centla,86754
27003,Centla,86757
27003,Centla,86759
27003,Centla,86761
27003,Centla,86763
27003,Centla,86765
27003,Centla,86768
27003,Centla,86750
27003,Centla,86753
27003,Centla,86756
27003,Centla,86758
27003,Centla,86760
27003,Centla,86762
27003,Centla,86764
27003,Centla,86767
27005,Comalcalco,86320
27005,Comalcalco,86324
27005,Comalcalco,86330
27005,Comalcalco,86350
27005,Comalcalco,86360
27005,Comalcalco,86369
27005,Comalcalco,86380
27005,Comalcalco,86389
27005,Comalcalco,86633
27005,Comalcalco,86640
27005,Comalcalco,86644
27005,Comalcalco,86646
27005,Comalcalco,86652
27005,Comalcalco,86654
27005,Comalcalco,86656
27005,Comalcalco,86658
27005,Comalcalco,86662
27005,Comalcalco,86665
27005,Comalcalco,86667
27005,Comalcalco,86670
27005,Comalcalco,86673
27005,Comalcalco,86675
27005,Comalcalco,86300
27005,Comalcalco,86323
27005,Comalcalco,86325
27005,Comalcalco,86340
27005,Comalcalco,86357
27005,Comalcalco,86363
27005,Comalcalco,86370
27005,Comalcalco,86388
27005,Comalcalco,86630
27005,Comalcalco,86638
27005,Comalcalco,86643
27005,Comalcalco,86645
27005,Comalcalco,86650
27005,Comalcalco,86653
27005,Comalcalco,86655
27005,Comalcalco,86657
27005,Comalcalco,86660
27005,Comalcalco,86663
27005,Comalcalco,86666
27005,Comalcalco,86669
27005,Comalcalco,86671
27005,Comalcalco,86674
27007,Emiliano Zapata,86982
27007,Emiliano Zapata,86984
27007,Emiliano Zapata,86986
27007,Emiliano Zapata,86989
27007,Emiliano Zapata,86992
27007,Emiliano Zapata,86994
27007,Emiliano Zapata,86996
27007,Emiliano Zapata,86998
27007,Emiliano Zapata,86980
27007,Emiliano Zapata,86983
27007,Emiliano Zapata,86985
27007,Emiliano Zapata,86988
27007,Emiliano Zapata,86990
27007,Emiliano Zapata,86993
27007,Emiliano Zapata,86995
27007,Emiliano Zapata,86997
27009,Jalapa,86833
27009,Jalapa,86835
27009,Jalapa,86837
27009,Jalapa,86840
27009,Jalapa,86844
27009,Jalapa,86850
27009,Jalapa,86855
27009,Jalapa,86859
27009,Jalapa,86861
27009,Jalapa,86864
27009,Jalapa,86830
27009,Jalapa,86834
27009,Jalapa,86836
27009,Jalapa,86839
27009,Jalapa,86843
27009,Jalapa,86849
27009,Jalapa,86853
27009,Jalapa,86856
27009,Jalapa,86860
27009,Jalapa,86863
27011,Jonuta,86771
27011,Jonuta,86775
27011,Jonuta,86777
27011,Jonuta,86781
27011,Jonuta,86783
27011,Jonuta,86786
27011,Jonuta,86788
27011,Jonuta,86790
27011,Jonuta,86795
27011,Jonuta,86799
27011,Jonuta,86770
27011,Jonuta,86773
27011,Jonuta,86776
27011,Jonuta,86780
27011,Jonuta,86782
27011,Jonuta,86785
27011,Jonuta,86787
27011,Jonuta,86789
27011,Jonuta,86793
27011,Jonuta,86797
27013,Nacajuca,86230
27013,Nacajuca,86236
27013,Nacajuca,86240
27013,Nacajuca,86244
27013,Nacajuca,86246
27013,Nacajuca,86220
27013,Nacajuca,86233
27013,Nacajuca,86237
27013,Nacajuca,86243
27013,Nacajuca,86245
27013,Nacajuca,86247
27015,Tacotalpa,86871
27015,Tacotalpa,86874
27015,Tacotalpa,86877
27015,Tacotalpa,86880
27015,Tacotalpa,86882
27015,Tacotalpa,86886
27015,Tacotalpa,86888
27015,Tacotalpa,86892
27015,Tacotalpa,86894
27015,Tacotalpa,86896
27015,Tacotalpa,86898
27015,Tacotalpa,86870
27015,Tacotalpa,86873
27015,Tacotalpa,86876
27015,Tacotalpa,86878
27015,Tacotalpa,86881
27015,Tacotalpa,86885
27015,Tacotalpa,86887
27015,Tacotalpa,86890
27015,Tacotalpa,86893
27015,Tacotalpa,86895
27015,Tacotalpa,86897
27015,Tacotalpa,86899
27017,Tenosique,86901
27017,Tenosique,86904
27017,Tenosique,86906
27017,Tenosique,86908
27017,Tenosique,86910
27017,Tenosique,86912
27017,Tenosique,86916
27017,Tenosique,86919
27017,Tenosique,86921
27017,Tenosique,86923
27017,Tenosique,86925
27017,Tenosique,86927
27017,Tenosique,86900
27017,Tenosique,86902
27017,Tenosique,86905
27017,Tenosique,86907
27017,Tenosique,86909
27017,Tenosique,86911
27017,Tenosique,86915
27017,Tenosique,86918
27017,Tenosique,86920
27017,Tenosique,86922
27017,Tenosique,86924
27017,Tenosique,86926
27017,Tenosique,86928
