CVEGEO,Nombre,CP
28002,Aldama,89672
28002,Aldama,89674
28002,Aldama,89676
28002,Aldama,89678
28002,Aldama,89670
28002,Aldama,89673
28002,Aldama,89675
28002,Aldama,89677
28002,Aldama,89679
28004,Antiguo Morelos,89963
28004,Antiguo Morelos,89966
28004,Antiguo Morelos,89968
28004,Antiguo Morelos,89960
28004,Antiguo Morelos,89965
28004,Antiguo Morelos,89967
28004,Antiguo Morelos,89969
28006,Bustamante,87961
28006,Bustamante,87963
28006,Bustamante,87965
28006,Bustamante,87968
28006,Bustamante,87960
28006,Bustamante,87962
28006,Bustamante,87964
28006,Bustamante,87967
28006,Bustamante,87969
28008,Casas,87253
28008,Casas,87257
28008,Casas,87250
28008,Casas,87255
28008,Casas,87258
28010,Cruillas,87650
28010,Cruillas,87640
28010,Cruillas,87655
28011,Gómez Farías,89783
28011,Gómez Farías,89789
28011,Gómez Farías,89791
28011,Gómez Farías,89795
28011,Gómez Farías,89797
28011,Gómez Farías,89780
28011,Gómez Farías,89784
28011,Gómez Farías,89790
28011,Gómez Farías,89792
28011,Gómez Farías,89796
28013,Güémez,87232
28013,Güémez,87235
28013,Güémez,87237
28013,Güémez,87239
28013,Güémez,87244
28013,Güémez,87247
28013,Güémez,87249
28013,Güémez,87230
28013,Güémez,87233
28013,Güémez,87236
28013,Güémez,87238
28013,Güémez,87240
28013,Güémez,87245
28013,Güémez,87248
28015,Gustavo Díaz Ordaz,88402
28015,Gustavo Díaz Ordaz,88404
28015,Gustavo Díaz Ordaz,88406
28015,Gustavo Díaz Ordaz,88408
28015,Gustavo Díaz Ordaz,88412
28015,Gustavo Díaz Ordaz,88420
28015,Gustavo Díaz Ordaz,88430
28015,Gustavo Díaz Ordaz,88439
28015,Gustavo Díaz Ordaz,88400
28015,Gustavo Díaz Ordaz,88403
28015,Gustavo Díaz Ordaz,88405
28015,Gustavo Díaz Ordaz,88407
28015,Gustavo Díaz Ordaz,88410
28015,Gustavo Díaz Ordaz,88415
28015,Gustavo Díaz Ordaz,88425
28015,Gustavo Díaz Ordaz,88434
28017,Jaumave,87932
28017,Jaumave,87935
28017,Jaumave,87937
28017,Jaumave,87939
28017,Jaumave,87943
28017,Jaumave,87946
28017,Jaumave,87949
28017,Jaumave,87930
28017,Jaumave,87933
28017,Jaumave,87936
28017,Jaumave,87938
28017,Jaumave,87940
28017,Jaumave,87945
28017,Jaumave,87947
28019,Llera,87202
28019,Llera,87204
28019,Llera,87206
28019,Llera,87208
28019,Llera,87210
