CVEGEO,Nombre,CP
29001,Amaxac de Guerrero,90623
29001,Amaxac de Guerrero,90630
29001,Amaxac de Guerrero,90620
29001,Amaxac de Guerrero,90624
29001,Amaxac de Guerrero,90635
29005,Apizaco,90308
29005,Apizaco,90319
29005,Apizaco,90323
29005,Apizaco,90330
29005,Apizaco,90338
29005,Apizaco,90340
29005,Apizaco,90342
29005,Apizaco,90350
29005,Apizaco,90355
29005,Apizaco,90357
29005,Apizaco,90359
29005,Apizaco,90370
29005,Apizaco,90379
29005,Apizaco,90401
29005,Apizaco,90403
29005,Apizaco,90405
29005,Apizaco,90407
29005,Apizaco,90300
29005,Apizaco,90309
29005,Apizaco,90320
29005,Apizaco,90329
29005,Apizaco,90337
29005,Apizaco,90339
29005,Apizaco,90341
29005,Apizaco,90347
29005,Apizaco,90354
29005,Apizaco,90356
29005,Apizaco,90358
29005,Apizaco,90360
29005,Apizaco,90378
29005,Apizaco,90380
29005,Apizaco,90402
29005,Apizaco,90404
29005,Apizaco,90406
29004,Atltzayanca,90553
29004,Atltzayanca,90555
29004,Atltzayanca,90557
29004,Atltzayanca,90550
29004,Atltzayanca,90554
29004,Atltzayanca,90556
29004,Atltzayanca,90558
29006,Calpulalpan,90202
29006,Calpulalpan,90204
29006,Calpulalpan,90207
29006,Calpulalpan,90210
29006,Calpulalpan,90214
29006,Calpulalpan,90218
29006,Calpulalpan,90222
29006,Calpulalpan,90225
29006,Calpulalpan,90200
29006,Calpulalpan,90203
29006,Calpulalpan,90205
29006,Calpulalpan,90208
29006,Calpulalpan,90213
29006,Calpulalpan,90217
29006,Calpulalpan,90220
29006,Calpulalpan,90224
29006,Calpulalpan,90226
29018,Contla de Juan Cuamatzi,90676
29018,Contla de Juan Cuamatzi,90690
29018,Contla de Juan Cuamatzi,90693
29018,Contla de Juan Cuamatzi,90670
29018,Contla de Juan Cuamatzi,90680
29018,Contla de Juan Cuamatzi,90692
29009,Cuaxomulco,90660
29046,Emiliano Zapata,90548
29046,Emiliano Zapata,90547
29013,Huamantla,90502
29013,Huamantla,90505
29013,Huamantla,90507
29013,Huamantla,90510
29013,Huamantla,90514
29013,Huamantla,90520
29013,Huamantla,90526
29013,Huamantla,90530
29013,Huamantla,90535
29013,Huamantla,90500
29013,Huamantla,90503
29013,Huamantla,90506
29013,Huamantla,90508
29013,Huamantla,90513
29013,Huamantla,90515
29013,Huamantla,90525
29013,Huamantla,90527
29013,Huamantla,90534
29015,Ixtacuixtla de Mariano Matamoros,90121
29015,Ixtacuixtla de Mariano Matamoros,90123
29015,Ixtacuixtla de Mariano Matamoros,90125
29015,Ixtacuixtla de Mariano Matamoros,90127
29015,Ixtacuixtla de Mariano Matamoros,90130
29015,Ixtacuixtla de Mariano Matamoros,90132
29015,Ixtacuixtla de Mariano Matamoros,90134
29015,Ixtacuixtla de Mariano Matamoros,90120
29015,Ixtacuixtla de Mariano Matamoros,90122
29015,Ixtacuixtla de Mariano Matamoros,90124
29015,Ixtacuixtla de Mariano Matamoros,90126
