CVEGEO,Nombre,CP
31002,Acanceh,97382
31002,Acanceh,97380
31002,Acanceh,97383
31004,Baca,97452
31004,Baca,97450
31004,Baca,97453
31006,Buctzotz,97623
31006,Buctzotz,97625
31006,Buctzotz,97627
31006,Buctzotz,97620
31006,Buctzotz,97624
31006,Buctzotz,97626
31008,Calotmul,97746
31008,Calotmul,97748
31008,Calotmul,97745
31008,Calotmul,97747
31010,Cantamayec,97917
31010,Cantamayec,97915
31010,Cantamayec,97918
31012,Cenotillo,97643
31012,Cenotillo,97645
31012,Cenotillo,97640
31012,Cenotillo,97644
31017,Chankom,97759
31017,Chankom,97758
31019,Chemax,97773
31019,Chemax,97775
31019,Chemax,97777
31019,Chemax,97770
31019,Chemax,97774
31019,Chemax,97776
31020,Chicxulub Pueblo,97340
31023,Chocholá,97816
31013,Conkal,97346
31013,Conkal,97345
31015,Cuzamá,97578
31015,Cuzamá,97577
31026,Dzemul,97406
31026,Dzemul,97404
31028,Dzilam de Bravo,97607
31028,Dzilam de Bravo,97606
31028,Dzilam de Bravo,97608
31030,Dzitás,97665
31030,Dzitás,97667
31030,Dzitás,97660
31030,Dzitás,97666
31032,Espita,97733
31032,Espita,97730
31032,Espita,97734
31034,Hocabá,97563
31034,Hocabá,97560
31034,Hocabá,97564
31036,Homún,97582
31036,Homún,97584
31036,Homún,97586
31036,Homún,97580
31036,Homún,97583
31036,Homún,97585
31038,Hunucmá,97353
31038,Hunucmá,97356
31038,Hunucmá,97350
31038,Hunucmá,97355
31040,Izamal,97542
31040,Izamal,97550
31040,Izamal,97554
31040,Izamal,97556
31040,Izamal,97540
31040,Izamal,97545
31040,Izamal,97553
31040,Izamal,97555
31040,Izamal,97557
31042,Kantunil,97674
31042,Kantunil,97670
31042,Kantunil,97675
31044,Kinchil,97362
31044,Kinchil,97360
31044,Kinchil,97363
31046,Mama,97900
31048,Maxcanú,97803
31048,Maxcanú,97805
31048,Maxcanú,97807
31048,Maxcanú,97800
31048,Maxcanú,97804
31048,Maxcanú,97806
31050,Mérida,97003
31050,Mérida,97059
31050,Mérida,97068
31050,Mérida,97070
31050,Mérida,97088
31050,Mérida,97098
31050,Mérida,97100
31050,Mérida,97108
31050,Mérida,97110
31050,Mérida,97114
31050,Mérida,97116
31050,Mérida,97118
31050,Mérida,97120
31050,Mérida,97125
31050,Mérida,97128
31050,Mérida,97130
31050,Mérida,97134
31050,Mérida,97136
31050,Mérida,97138
31050,Mérida,97140
31050,Mérida,97143
31050,Mérida,97145
31050,Mérida,97147
31050,Mérida,97149
31050,Mérida,97155
31050,Mérida,97157
31050,Mérida,97159
31050,Mérida,97165
31050,Mérida,97167
31050,Mérida,97169
31050,Mérida,97173
31050,Mérida,97175
31050,Mérida,97177
31050,Mérida,97179
31050,Mérida,97189
31050,Mérida,97195
31050,Mérida,97197
31050,Mérida,97199
31050,Mérida,97204
31050,Mérida,97206
31050,Mérida,97208
