CVEGEO,Nombre,CP
32002,Apulco,99921
32002,Apulco,99930
32002,Apulco,99920
32002,Apulco,99925
32004,Benito Juárez,99781
32004,Benito Juárez,99780
32006,Cañitas de Felipe Pescador,98490
32006,Cañitas de Felipe Pescador,98480
32007,Concepción del Oro,98204
32007,Concepción del Oro,98209
32007,Concepción del Oro,98211
32007,Concepción del Oro,98200
32007,Concepción del Oro,98205
32007,Concepción del Oro,98210
32007,Concepción del Oro,98212
32015,El Plateado de Joaquín Amaro,99592
32015,El Plateado de Joaquín Amaro,99590
32015,El Plateado de Joaquín Amaro,99593
32010,Fresnillo,99010
32010,Fresnillo,99013
32010,Fresnillo,99020
32010,Fresnillo,99033
32010,Fresnillo,99036
32010,Fresnillo,99040
32010,Fresnillo,99050
32010,Fresnillo,99055
32010,Fresnillo,99060
32010,Fresnillo,99080
32010,Fresnillo,99089
32010,Fresnillo,99094
32010,Fresnillo,99099
32010,Fresnillo,99154
32010,Fresnillo,99159
32010,Fresnillo,99170
32010,Fresnillo,99179
32010,Fresnillo,99182
32010,Fresnillo,99189
32010,Fresnillo,99198
32010,Fresnillo,99000
32010,Fresnillo,99011
32010,Fresnillo,99014
32010,Fresnillo,99030
32010,Fresnillo,99034
32010,Fresnillo,99039
32010,Fresnillo,99049
32010,Fresnillo,99054
32010,Fresnillo,99056
32010,Fresnillo,99070
32010,Fresnillo,99084
32010,Fresnillo,99090
32010,Fresnillo,99095
32010,Fresnillo,99150
32010,Fresnillo,99158
32010,Fresnillo,99160
32010,Fresnillo,99178
32010,Fresnillo,99180
32010,Fresnillo,99188
32010,Fresnillo,99190
32010,Fresnillo,99199
32013,General Enrique Estrada,98561
32013,General Enrique Estrada,98560
32016,General Pánfilo Natera,98740
32016,General Pánfilo Natera,98760
32016,General Pánfilo Natera,98730
32016,General Pánfilo Natera,98750
32018,Huanusco,99670
32020,Jerez,99310
32020,Jerez,99312
32020,Jerez,99314
32020,Jerez,99316
32020,Jerez,99322
32020,Jerez,99324
32020,Jerez,99340
32020,Jerez,99343
32020,Jerez,99350
32020,Jerez,99353
32020,Jerez,99361
32020,Jerez,99363
32020,Jerez,99379
32020,Jerez,99382
32020,Jerez,99390
32020,Jerez,99393
32020,Jerez,99442
32020,Jerez,99447
32020,Jerez,99456
32020,Jerez,99458
32020,Jerez,99467
32020,Jerez,99469
32020,Jerez,99473
32020,Jerez,99476
32020,Jerez,99479
32020,Jerez,99300
32020,Jerez,99311
32020,Jerez,99313
32020,Jerez,99315
32020,Jerez,99320
32020,Jerez,99323
32020,Jerez,99330
32020,Jerez,99342
32020,Jerez,99344
32020,Jerez,99352
32020,Jerez,99360
32020,Jerez,99362
32020,Jerez,99370
32020,Jerez,99380
32020,Jerez,99389
32020,Jerez,99392
32020,Jerez,99440
32020,Jerez,99443
32020,Jerez,99454
32020,Jerez,99457
32020,Jerez,99460
32020,Jerez,99468
32020,Jerez,99471
32020,Jerez,99474
32020,Jerez,99478
32022,Juan Aldama,98303
32022,Juan Aldama,98307
32022,Juan Aldama,98311
32022,Juan Aldama,98300
32022,Juan Aldama,98304
32022,Juan Aldama,98310
32022,Juan Aldama,98320
32024,Loreto,98804
32024,Loreto,98807
32024,Loreto,98815
32024,Loreto,98820
32024,Loreto,98825
32024,Loreto,98830
32024,Loreto,98833
32024,Loreto,98835
32024,Loreto,98837
32024,Loreto,98839
32024,Loreto,98800
32024,Loreto,98805
32024,Loreto,98810
32024,Loreto,98817
32024,Loreto,98824
32024,Loreto,98827
32024,Loreto,98832
